version,season,week,metric,test,identical,max_abs_diff,note
v1,2018,14,early_epa,poison,True,0.0,
v1,2018,14,early_epa,truncate,True,0.0,
v1,2018,14,early_sr,poison,True,0.0,
v1,2018,14,early_sr,truncate,True,0.0,
v1,2018,14,fumble_rate,poison,True,0.0,
v1,2018,14,fumble_rate,truncate,True,0.0,
v1,2018,14,int_rate,poison,True,0.0,
v1,2018,14,int_rate,truncate,True,0.0,
v2,2018,14,epa,poison,True,0.0,
v2,2018,14,epa,truncate,True,0.0,
v2,2018,14,pass_epa,poison,True,0.0,
v2,2018,14,pass_epa,truncate,True,0.0,
v2,2018,14,rush_epa,poison,True,0.0,
v2,2018,14,rush_epa,truncate,True,0.0,
v2,2018,14,sr,poison,True,0.0,
v2,2018,14,sr,truncate,True,0.0,
v2,2018,14,pass_sr,poison,True,0.0,
v2,2018,14,pass_sr,truncate,True,0.0,
v2,2018,14,rush_sr,poison,True,0.0,
v2,2018,14,rush_sr,truncate,True,0.0,
v2,2018,14,cpoe,poison,True,0.0,
v2,2018,14,cpoe,truncate,True,0.0,
v2,2018,14,pass_oe,poison,True,0.0,
v2,2018,14,pass_oe,truncate,True,0.0,
v2,2018,14,sec_per_play,poison,True,0.0,
v2,2018,14,sec_per_play,truncate,True,0.0,
v2,2018,14,to_rate,poison,True,0.0,
v2,2018,14,to_rate,truncate,True,0.0,
v2,2018,14,epa_noto,poison,True,0.0,
v2,2018,14,epa_noto,truncate,True,0.0,
v2,2018,14,sr_noto,poison,True,0.0,
v2,2018,14,sr_noto,truncate,True,0.0,
v2,2018,14,early_epa,poison,True,0.0,
v2,2018,14,early_epa,truncate,True,0.0,
v2,2018,14,early_sr,poison,True,0.0,
v2,2018,14,early_sr,truncate,True,0.0,
v2,2018,14,fumble_rate,poison,True,0.0,
v2,2018,14,fumble_rate,truncate,True,0.0,
v2,2018,14,int_rate,poison,True,0.0,
v2,2018,14,int_rate,truncate,True,0.0,
v1,2019,8,epa,poison,True,0.0,
v1,2019,8,epa,truncate,True,0.0,
v1,2019,8,pass_epa,poison,True,0.0,
v1,2019,8,pass_epa,truncate,True,0.0,
v1,2019,8,rush_epa,poison,True,0.0,
v1,2019,8,rush_epa,truncate,True,0.0,
v1,2019,8,sr,poison,True,0.0,
v1,2019,8,sr,truncate,True,0.0,
v1,2019,8,pass_sr,poison,True,0.0,
v1,2019,8,pass_sr,truncate,True,0.0,
v1,2019,8,rush_sr,poison,True,0.0,
v1,2019,8,rush_sr,truncate,True,0.0,
v1,2019,8,cpoe,poison,True,0.0,
v1,2019,8,cpoe,truncate,True,0.0,
v1,2019,8,pass_oe,poison,True,0.0,
v1,2019,8,pass_oe,truncate,True,0.0,
v1,2019,8,sec_per_play,poison,True,0.0,
v1,2019,8,sec_per_play,truncate,True,0.0,
v1,2019,8,to_rate,poison,True,0.0,
v1,2019,8,to_rate,truncate,True,0.0,
v1,2019,8,epa_noto,poison,True,0.0,
v1,2019,8,epa_noto,truncate,True,0.0,
v1,2019,8,sr_noto,poison,True,0.0,
v1,2019,8,sr_noto,truncate,True,0.0,
v1,2019,8,early_epa,poison,True,0.0,
v1,2019,8,early_epa,truncate,True,0.0,
v1,2019,8,early_sr,poison,True,0.0,
v1,2019,8,early_sr,truncate,True,0.0,
v1,2019,8,fumble_rate,poison,True,0.0,
v1,2019,8,fumble_rate,truncate,True,0.0,
v1,2019,8,int_rate,poison,True,0.0,
v1,2019,8,int_rate,truncate,True,0.0,
v2,2019,8,epa,poison,True,0.0,
v2,2019,8,epa,truncate,True,0.0,
v2,2019,8,pass_epa,poison,True,0.0,
v2,2019,8,pass_epa,truncate,True,0.0,
v2,2019,8,rush_epa,poison,True,0.0,
v2,2019,8,rush_epa,truncate,True,0.0,
v2,2019,8,sr,poison,True,0.0,
v2,2019,8,sr,truncate,True,0.0,
v2,2019,8,pass_sr,poison,True,0.0,
v2,2019,8,pass_sr,truncate,True,0.0,
v2,2019,8,rush_sr,poison,True,0.0,
v2,2019,8,rush_sr,truncate,True,0.0,
v2,2019,8,cpoe,poison,True,0.0,
v2,2019,8,cpoe,truncate,True,0.0,
v2,2019,8,pass_oe,poison,True,0.0,
v2,2019,8,pass_oe,truncate,True,0.0,
v2,2019,8,sec_per_play,poison,True,0.0,
v2,2019,8,sec_per_play,truncate,True,0.0,
v2,2019,8,to_rate,poison,True,0.0,
v2,2019,8,to_rate,truncate,True,0.0,
v2,2019,8,epa_noto,poison,True,0.0,
v2,2019,8,epa_noto,truncate,True,0.0,
v2,2019,8,sr_noto,poison,True,0.0,
v2,2019,8,sr_noto,truncate,True,0.0,
v2,2019,8,early_epa,poison,True,0.0,
v2,2019,8,early_epa,truncate,True,0.0,
v2,2019,8,early_sr,poison,True,0.0,
v2,2019,8,early_sr,truncate,True,0.0,
v2,2019,8,fumble_rate,poison,True,0.0,
v2,2019,8,fumble_rate,truncate,True,0.0,
v2,2019,8,int_rate,poison,True,0.0,
v2,2019,8,int_rate,truncate,True,0.0,
v1,2020,1,epa,poison,True,0.0,
v1,2020,1,epa,truncate,True,0.0,
v1,2020,1,pass_epa,poison,True,0.0,
v1,2020,1,pass_epa,truncate,True,0.0,
v1,2020,1,rush_epa,poison,True,0.0,
v1,2020,1,rush_epa,truncate,True,0.0,
v1,2020,1,sr,poison,True,0.0,
v1,2020,1,sr,truncate,True,0.0,
v1,2020,1,pass_sr,poison,True,0.0,
v1,2020,1,pass_sr,truncate,True,0.0,
v1,2020,1,rush_sr,poison,True,0.0,
v1,2020,1,rush_sr,truncate,True,0.0,
v1,2020,1,cpoe,poison,True,0.0,
v1,2020,1,cpoe,truncate,True,0.0,
v1,2020,1,pass_oe,poison,True,0.0,
v1,2020,1,pass_oe,truncate,True,0.0,
v1,2020,1,sec_per_play,poison,True,0.0,
v1,2020,1,sec_per_play,truncate,True,0.0,
v1,2020,1,to_rate,poison,True,0.0,
v1,2020,1,to_rate,truncate,True,0.0,
v1,2020,1,epa_noto,poison,True,0.0,
v1,2020,1,epa_noto,truncate,True,0.0,
v1,2020,1,sr_noto,poison,True,0.0,
v1,2020,1,sr_noto,truncate,True,0.0,
v1,2020,1,early_epa,poison,True,0.0,
v1,2020,1,early_epa,truncate,True,0.0,
v1,2020,1,early_sr,poison,True,0.0,
v1,2020,1,early_sr,truncate,True,0.0,
v1,2020,1,fumble_rate,poison,True,0.0,
v1,2020,1,fumble_rate,truncate,True,0.0,
v1,2020,1,int_rate,poison,True,0.0,
v1,2020,1,int_rate,truncate,True,0.0,
v2,2020,1,epa,poison,True,0.0,
v2,2020,1,epa,truncate,True,0.0,
v2,2020,1,pass_epa,poison,True,0.0,
v2,2020,1,pass_epa,truncate,True,0.0,
v2,2020,1,rush_epa,poison,True,0.0,
v2,2020,1,rush_epa,truncate,True,0.0,
v2,2020,1,sr,poison,True,0.0,
v2,2020,1,sr,truncate,True,0.0,
v2,2020,1,pass_sr,poison,True,0.0,
v2,2020,1,pass_sr,truncate,True,0.0,
v2,2020,1,rush_sr,poison,True,0.0,
v2,2020,1,rush_sr,truncate,True,0.0,
v2,2020,1,cpoe,poison,True,0.0,
v2,2020,1,cpoe,truncate,True,0.0,
v2,2020,1,pass_oe,poison,True,0.0,
v2,2020,1,pass_oe,truncate,True,0.0,
v2,2020,1,sec_per_play,poison,True,0.0,
v2,2020,1,sec_per_play,truncate,True,0.0,
v2,2020,1,to_rate,poison,True,0.0,
v2,2020,1,to_rate,truncate,True,0.0,
v2,2020,1,epa_noto,poison,True,0.0,
v2,2020,1,epa_noto,truncate,True,0.0,
v2,2020,1,sr_noto,poison,True,0.0,
v2,2020,1,sr_noto,truncate,True,0.0,
v2,2020,1,early_epa,poison,True,0.0,
v2,2020,1,early_epa,truncate,True,0.0,
v2,2020,1,early_sr,poison,True,0.0,
v2,2020,1,early_sr,truncate,True,0.0,
v2,2020,1,fumble_rate,poison,True,0.0,
v2,2020,1,fumble_rate,truncate,True,0.0,
v2,2020,1,int_rate,poison,True,0.0,
v2,2020,1,int_rate,truncate,True,0.0,
v1,2021,6,epa,poison,True,0.0,
v1,2021,6,epa,truncate,True,0.0,
v1,2021,6,pass_epa,poison,True,0.0,
v1,2021,6,pass_epa,truncate,True,0.0,
v1,2021,6,rush_epa,poison,True,0.0,
v1,2021,6,rush_epa,truncate,True,0.0,
v1,2021,6,sr,poison,True,0.0,
v1,2021,6,sr,truncate,True,0.0,
v1,2021,6,pass_sr,poison,True,0.0,
v1,2021,6,pass_sr,truncate,True,0.0,
v1,2021,6,rush_sr,poison,True,0.0,
v1,2021,6,rush_sr,truncate,True,0.0,
v1,2021,6,cpoe,poison,True,0.0,
v1,2021,6,cpoe,truncate,True,0.0,
v1,2021,6,pass_oe,poison,True,0.0,
v1,2021,6,pass_oe,truncate,True,0.0,
v1,2021,6,sec_per_play,poison,True,0.0,
v1,2021,6,sec_per_play,truncate,True,0.0,
v1,2021,6,to_rate,poison,True,0.0,
v1,2021,6,to_rate,truncate,True,0.0,
v1,2021,6,epa_noto,poison,True,0.0,
v1,2021,6,epa_noto,truncate,True,0.0,
v1,2021,6,sr_noto,poison,True,0.0,
v1,2021,6,sr_noto,truncate,True,0.0,
v1,2021,6,early_epa,poison,True,0.0,
v1,2021,6,early_epa,truncate,True,0.0,
v1,2021,6,early_sr,poison,True,0.0,
v1,2021,6,early_sr,truncate,True,0.0,
v1,2021,6,fumble_rate,poison,True,0.0,
v1,2021,6,fumble_rate,truncate,True,0.0,
v1,2021,6,int_rate,poison,True,0.0,
v1,2021,6,int_rate,truncate,True,0.0,
v2,2021,6,epa,poison,True,0.0,
v2,2021,6,epa,truncate,True,0.0,
v2,2021,6,pass_epa,poison,True,0.0,
v2,2021,6,pass_epa,truncate,True,0.0,
v2,2021,6,rush_epa,poison,True,0.0,
v2,2021,6,rush_epa,truncate,True,0.0,
v2,2021,6,sr,poison,True,0.0,
v2,2021,6,sr,truncate,True,0.0,
v2,2021,6,pass_sr,poison,True,0.0,
v2,2021,6,pass_sr,truncate,True,0.0,
v2,2021,6,rush_sr,poison,True,0.0,
v2,2021,6,rush_sr,truncate,True,0.0,
v2,2021,6,cpoe,poison,True,0.0,
v2,2021,6,cpoe,truncate,True,0.0,
v2,2021,6,pass_oe,poison,True,0.0,
v2,2021,6,pass_oe,truncate,True,0.0,
v2,2021,6,sec_per_play,poison,True,0.0,
v2,2021,6,sec_per_play,truncate,True,0.0,
v2,2021,6,to_rate,poison,True,0.0,
v2,2021,6,to_rate,truncate,True,0.0,
v2,2021,6,epa_noto,poison,True,0.0,
v2,2021,6,epa_noto,truncate,True,0.0,
v2,2021,6,sr_noto,poison,True,0.0,
v2,2021,6,sr_noto,truncate,True,0.0,
v2,2021,6,early_epa,poison,True,0.0,
v2,2021,6,early_epa,truncate,True,0.0,
v2,2021,6,early_sr,poison,True,0.0,
v2,2021,6,early_sr,truncate,True,0.0,
v2,2021,6,fumble_rate,poison,True,0.0,
v2,2021,6,fumble_rate,truncate,True,0.0,
v2,2021,6,int_rate,poison,True,0.0,
v2,2021,6,int_rate,truncate,True,0.0,
v1,2022,11,epa,poison,True,0.0,
v1,2022,11,epa,truncate,True,0.0,
v1,2022,11,pass_epa,poison,True,0.0,
v1,2022,11,pass_epa,truncate,True,0.0,
v1,2022,11,rush_epa,poison,True,0.0,
v1,2022,11,rush_epa,truncate,True,0.0,
v1,2022,11,sr,poison,True,0.0,
v1,2022,11,sr,truncate,True,0.0,
v1,2022,11,pass_sr,poison,True,0.0,
v1,2022,11,pass_sr,truncate,True,0.0,
v1,2022,11,rush_sr,poison,True,0.0,
v1,2022,11,rush_sr,truncate,True,0.0,
v1,2022,11,cpoe,poison,True,0.0,
v1,2022,11,cpoe,truncate,True,0.0,
v1,2022,11,pass_oe,poison,True,0.0,
v1,2022,11,pass_oe,truncate,True,0.0,
v1,2022,11,sec_per_play,poison,True,0.0,
v1,2022,11,sec_per_play,truncate,True,0.0,
v1,2022,11,to_rate,poison,True,0.0,
v1,2022,11,to_rate,truncate,True,0.0,
v1,2022,11,epa_noto,poison,True,0.0,
v1,2022,11,epa_noto,truncate,True,0.0,
v1,2022,11,sr_noto,poison,True,0.0,
v1,2022,11,sr_noto,truncate,True,0.0,
