pfr_id,gsis_id,display_name,position,name_key
AlipTu20,00-0000178,Tuineau Alipate,LB,tuineaualipate
AllxEr00,00-0039814,Erick All,TE,erickall
AllaDr00,00-0041565,Drew Allar,QB,drewallar
allegrau01,00-0000179,Raul Allegre,K,raulallegre
AlleNi00,00-0035149,Nick Allegretti,G,nickallegretti
AlleAn20,00-0025475,Andy Alleman,G,andyalleman
AlleAn01,00-0028163,Anthony Allen,RB,anthonyallen
AlleAn00,ALL057945,Anthony Allen,WR,anthonyallen
AlleAn02,00-0029553,Antonio Allen,DB,antonioallen
AlleAr00,00-0028565,Armando Allen,RB,armandoallen
AlleAs99,00-0027058,Asher Allen,CB,asherallen
AlleAu00,00-0037369,Austin Allen,TE,austinallen
AlleBe00,00-0031089,Beau Allen,DT,beauallen
AlleBr05,00-0039794,Braelon Allen,RB,braelonallen
AlleBr00,00-0032434,Brandon Allen,QB,brandonallen
AlleBr04,00-0038856,Brevin Allen,LB,brevinallen
AlleBr21,00-0020295,Brian Allen,OLB,brianallen
AlleBr20,00-0021311,Brian Allen,RB,brianallen
AlleBr01,00-0033467,Brian Allen,CB,brianallen
AlleBr02,00-0034804,Brian Allen,C,brianallen
AlleCh02,00-0033399,Chase Allen,OLB,chaseallen
AlleCh03,00-0037100,Chase Allen,TE,chaseallen
AlleCJ00,00-0041039,CJ Allen,LB,cjallen
AlleCh04,00-0037379,Christopher Allen,LB,christopherallen
AlleCo00,00-0028066,Cortez Allen,DB,cortezallen
AlleCy00,00-0040890,Cyrus Allen,WR,cyrusallen
AlleDa01,00-0035670,Dakota Allen,LB,dakotaallen
AlleDa00,00-0020058,David Allen,RB,davidallen
AlleDa02,00-0039074,Davis Allen,TE,davisallen
AlleDe01,00-0034585,Dejon Allen,OT,dejonallen
AlleDe00,00-0031117,Denicos Allen,OLB,denicosallen
AlleDe20,00-0000196,Derek Allen,G,derekallen
AlleDe02,00-0037039,Devon Allen,WR,devonallen
AlleDo20,ALL135205,Doug Allen,OLB,dougallen
AlleDw00,00-0029689,Dwayne Allen,TE,dwayneallen
AlleEa20,ALL173835,Earl Allen,DB,earlallen
AlleEg20,ALL231780,Egypt Allen,DB,egyptallen
AlleEr00,00-0000204,Eric Allen,CB,ericallen
AlleGa20,ALL309040,Gary Allen,RB,garyallen
AlleGr21,ALL386300,Greg Allen,RB,gregallen
AlleHa20,ALL405615,Harvey Allen,DB,harveyallen
AlleIa20,00-0020201,Ian Allen,G,ianallen
AlleJa24,00-0026022,Jake Allen,WR,jakeallen
AlleJa03,00-0032872,Jack Allen,C,jackallen
AlleJa00,00-0000210,James Allen,RB,jamesallen
AlleJa21,00-0021207,James Allen,LB,jamesallen
AlleJi20,ALL444245,Jimmy Allen,FS,jimmyallen
AlleJa22,00-0022740,Jared Allen,DE,jaredallen
AlleJa23,00-0024231,Jason Allen,DB,jasonallen
AlleJa01,00-0031577,Javorius Allen,RB,javoriusallen
AlleJe01,00-0029524,Jeff Allen,G,jeffallen
AlleJo01,00-0033523,Jonathan Allen,DE,jonathanallen
AlleCa21,ALL521505,Carl Allen,CB,carlallen
AlleJo00,00-0030833,Josh Allen,C,joshallen
AlleJo02,00-0034857,Josh Allen,QB,joshallen
AlleKa01,00-0041096,Kaytron Allen,RB,kaytronallen
AlleKa00,00-0038830,Kazmeir Allen,WR,kazmeirallen
AlleKe00,00-0030279,Keenan Allen,WR,keenanallen
AlleKe20,00-0021709,Kenderick Allen,DT,kenderickallen
AlleKe21,ALL540820,Kevin Allen,OT,kevinallen
AlleKy00,00-0034577,Kyle Allen,QB,kyleallen
AlleLa00,00-0000217,Larry Allen,G,larryallen
AlleLe01,00-0040238,LeQuint Allen Jr.,RB,lequintallen
AllePa20,ALL560135,Patrick Allen,DB,patrickallen
AlleMa00,00-0000220,Marcus Allen,RB,marcusallen
AlleMa03,00-0034335,Marcus Allen,LB,marcusallen
AlleMa05,00-0041340,Marcus Allen,DB,marcusallen
AlleMa01,00-0000226,Marvin Allen,RB,marvinallen
AlleMa20,00-0020214,Matt Allen,P,mattallen
AlleNa99,00-0027652,Nate Allen,S,nateallen
AlleNa20,ALL637395,Nate Allen,CB,nateallen
AllePi00,00-0028433,Pierre Allen,DE,pierreallen
AlleRa00,00-0031213,RaShaun Allen,TE,rashaunallen
AlleRi00,00-0031181,Ricardo Allen,FS,ricardoallen
AlleRo20,00-0026592,Roger Allen,G,rogerallen
AlleRu00,00-0026605,Russell Allen,OLB,russellallen
AlleRy01,00-0029984,Ryan Allen,P,ryanallen
AlleTa20,00-0000231,Taje Allen,DB,tajeallen
AlleTe00,00-0000232,Terry Allen,RB,terryallen
AlleTo00,00-0030914,Torrence Allen,WR,torrenceallen
AlleTr00,00-0000234,Tremayne Allen,TE,tremayneallen
AlleWi21,00-0022900,Will Allen,S,willallen
AlleWi20,00-0020467,Will Allen,DB,willallen
AlleZa00,ALL656106,Zach Allen,G,zachallen
AlleZa01,00-0035248,Zach Allen,DE,zachallen
AlleKu20,ALL656710,Kurt Allerman,ILB,kurtallerman
AlleTy20,ALL676025,Ty Allert,LB,tyallert
AllgTy00,00-0037263,Tyler Allgeier,RB,tylerallgeier
AlliAu00,00-0025533,Aundrae Allison,WR,aundraeallison
AlliGe01,00-0032626,Geronimo Allison,WR,geronimoallison
AlliHe20,ALL714655,Hank Allison,G,hankallison
AllrBr20,00-0000241,Brian Allred,DB,brianallred
AllrCo99,00-0023812,Colin Allred,OLB,colinallred
AllrJo00,00-0000242,John Allred,TE,johnallred
AlmxJe20,00-0000243,Jeff Alm,DT,jeffalm
AlmoBe20,ALM553722,Beau Almodobar,WR,beaualmodobar
AlonKi00,00-0030401,Kiko Alonso,OLB,kikoalonso
AlphGe20,00-0000245,Gerald Alphin,WR,geraldalphin
AlstJo20,00-0024292,Jon Alston,LB,jonalston
AlstLy20,ALS207645,Lyneal Alston,WR,lynealalston
AlstMa00,ALS415290,Mack Alston,TE,mackalston
AlstOB20,ALS622935,O'Brien Alston,OLB,obrienalston
AlstRi20,00-0021890,Richard Alston,WR,richardalston
AlstMi00,00-0000251,Mike Alstott,FB,mikealstott
AltxJo01,00-0039897,Joe Alt,OT,joealt
AltxJo00,00-0000252,John Alt,OT,johnalt
AlthJi20,ALT553722,Jim Althoff,DT,jimalthoff
AltmLu00,00-0041453,Luke Altmyer,QB,lukealtmyer
AluaTy99,00-0027862,Tyson Alualu,DE,tysonalualu
AlufAu00,00-0036065,Auzoyah Alufohai,DT,auzoyahalufohai
alvarwil01,ALV207645,Wilson Alvarez,K,wilsonalvarez
AlveSt20,ALV415290,Steve Alvers,TE,stevealvers
AlvoSt20,ALV622935,Steve Alvord,DT,stevealvord
AlwaTo20,ALW276861,Tom Alward,G,tomalward
AlzaLy00,ALZ415291,Lyle Alzado,DE,lylealzado
AmadUg00,00-0035142,Ugo Amadi,CB,ugoamadi
AmanEu20,00-0022771,Eugene Amano,C,eugeneamano
AmarJa00,00-0031042,Jace Amaro,TE,jaceamaro
AmatKe20,00-0021126,Ken Amato,LS,kenamato
AmayJo00,00-0027355,Jonathon Amaya,DB,jonathonamaya
AmbrAs00,00-0000261,Ashley Ambrose,CB,ashleyambrose
AmbrDi20,AMB553720,Dick Ambrose,ILB,dickambrose
AmegKi00,00-0039822,Kiran Amegadjie,OT,kiranamegadjie
AmenDa00,00-0026035,Danny Amendola,WR,dannyamendola
AmerDa00,00-0030420,David Amerson,DB,davidamerson
AmeyFr00,00-0023042,Otis Amey,WR,otisamey
AmeyVi20,00-0000267,Vince Amey,DE,vinceamey
AmicKo00,00-0033301,Kofi Amichia,G,kofiamichia
AmmeMa00,00-0036469,Matt Ammendola,K,mattammendola
AmosAd00,00-0031584,Adrian Amos,S,adrianamos
AmosTr00,00-0040731,Trey Amos,CB,treyamos
AmukPr00,00-0027957,Prince Amukamara,CB,princeamukamara
AmunGe00,AMU553722,George Amundson,RB,georgeamundson
AnaeBr00,00-0036379,Bradlee Anae,DE,bradleeanae
AnauPe00,00-0034012,Peli Anau,DE,pelianau
AnchTr00,00-0036437,Tremayne Anchrum,G,tremayneanchrum
AndeKi00,00-0000279,Kimble Anders,RB,kimbleanders
AndeJa20,00-0000281,Jason Andersen,C,jasonandersen
andermor01,00-0000282,Morten Andersen,K,mortenandersen
AndeTr00,00-0037810,Troy Andersen,LB,troyandersen
AndeAa00,00-0041491,Aaron Anderson,WR,aaronanderson
AndeAb00,00-0034587,Abdullah Anderson,DT,abdullahanderson
AndeAl00,00-0000284,Alfred Anderson,RB,alfredanderson
AndeAn23,00-0027906,Andre' Anderson,RB,andreanderson
AndeAn20,AND050645,Anthony Anderson,RB,anthonyanderson
AndeAn21,AND060774,Anthony Anderson,DB,anthonyanderson
AndeAn22,00-0000287,Antonio Anderson,DE,antonioanderson
AndeAr20,AND070903,Aric Anderson,LB,aricanderson
AndeBr20,AND101290,Brad Anderson,WR,bradanderson
AndeBr23,00-0026697,Brandon Anderson,DB,brandonanderson
AndeBr22,00-0021950,Bryan Anderson,G,bryananderson
AndeCa00,00-0034957,Calvin Anderson,OT,calvinanderson
AndeNe00,00-0000334,Neal Anderson,RB,nealanderson
AndeCh21,00-0022764,Charlie Anderson,LB,charlieanderson
AndeCo01,00-0026578,Colt Anderson,DB,coltanderson
AndeC.00,00-0029854,C.J. Anderson,RB,cjanderson
AndeCo00,00-0022704,Courtney Anderson,TE,courtneyanderson
AndeCu20,AND172193,Curtis Anderson,DE,curtisanderson
AndeDa00,00-0021048,Damien Anderson,RB,damienanderson
AndeDa03,00-0036027,Darius Anderson,RB,dariusanderson
AndeDa20,00-0000298,Darren Anderson,DB,darrenanderson
AndeDa01,00-0024465,David Anderson,WR,davidanderson
AndeDe01,00-0025582,Deon Anderson,FB,deonanderson
AndeDe00,00-0023645,Derek Anderson,QB,derekanderson
AndeDo20,AND182322,Don Anderson,DB,donanderson
AndeSc20,AND192451,Scott Anderson,C,scottanderson
AndeDr00,00-0031504,Dres Anderson,WR,dresanderson
AndeDr01,00-0035483,Drew Anderson,QB,drewanderson
AndeDu20,00-0000303,Dunstan Anderson,DE,dunstananderson
