player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5277,Greg Dulcich,TE,MIA,173.0,15.05,11,135,208,24.5,6
6580,Isaac TeSlaa,WR,DET,173.3,15.05,10,140,196,14.2,6
6791,Zachariah Branch,WR,ATL,173.4,15.05,11,152,185,8.0,11
5694,Kayshon Boutte,WR,NE,174.6,15.07,37,147,201,12.1,11
6457,Cam Ward,QB,TEN,174.8,15.07,31,134,210,18.1,9
1306,Cincinnati Defense,DEF,CIN,175.2,15.07,34,141,209,16.0,6
5678,Bryce Young,QB,CAR,175.8,15.08,14,144,196,13.8,5
2470,James Conner,RB,ARI,176.5,15.08,16,100,210,29.3,14
6304,Ryan Flournoy,WR,DAL,176.7,15.09,6,158,209,19.0,14
5725,Dontayvion Wicks,WR,PHI,177.9,15.10,25,130,210,23.0,10
2870,Christian Kirk,WR,SF,182.9,16.03,17,151,209,17.2,8
1316,Miami Defense,DEF,MIA,183.1,16.03,26,156,209,14.6,6
3453,Ty Johnson,RB,BUF,183.3,16.03,9,122,207,27.8,7
3437,Darius Slayton,WR,NYG,183.5,16.04,6,135,206,26.0,8
5433,Tyquan Thornton,WR,KC,184.4,16.04,7,173,209,12.0,5
5119,Darnell Mooney,WR,NYG,186.4,16.06,12,156,208,16.0,8
