adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
160.9,14.05,6,114,200,Kirk Cousins,1902,QB,17.8,MIN,158
161.7,14.06,6,126,193,Malcolm Brown,2326,RB,16.1,MIA,40
162.3,14.06,6,125,180,DeVante Parker,2279,WR,14.0,MIA,101
163.3,14.07,7,113,209,Ryan Fitzpatrick,375,QB,19.0,WAS,65
163.6,14.08,8,122,191,Deshaun Watson,2444,QB,15.9,HOU,62
163.8,14.08,11,131,179,Matt Gay,4867,PK,12.3,LAR,152
165.1,14.09,8,128,208,Robbie Gould,439,PK,14.1,SF,191
167.1,14.11,13,136,200,Carson Wentz,2352,QB,11.8,IND,44
168.0,14.12,8,137,207,Wil Lutz,2522,PK,19.1,NO,42
170.7,15.03,11,110,209,Nelson Agholor,2288,WR,25.1,NE,46
170.9,15.03,11,109,209,Marquez Valdes-Scantling,2987,WR,23.5,GB,47
172.7,15.05,7,134,207,Carlos Hyde,2129,RB,14.7,JAX,60
173.2,15.05,5,120,209,Kansas City Defense,1315,DEF,25.7,KC,43
173.7,15.06,13,126,206,Daniel Carlson,2988,PK,18.0,LV,47
174.0,15.06,11,138,208,Jason Myers,2424,PK,14.7,SEA,130
