name,team,position,adp,stdev,tier,mu_hat,n_eff,m_hat,B,pi,sig,theta_bar,shift,post_SD,rank,mkt_rank
D'Andre Swift,CHI,RB,46.2,4.5,vet,13.789432952668246,2.9076923076923076,12.272818662357915,0.5762910609229639,12.915421694294375,7.913078293153824,12.915421694294375,0.0,1.9891051119980843,43,44
Bucky Irving,TB,RB,45.8,5.0,vet,14.025490196078431,1.8,12.272818662357915,0.6872167255739929,12.821025003668268,7.913078293153824,12.821025003668268,0.0,1.9891051119980843,44,43
Terry McLaurin,WAS,WR,46.2,4.6,vet,12.817073380533316,2.953488372093023,12.759274924960415,0.6207791150229675,12.781193306433078,5.956804714567722,12.78119330643308,1.7763568394002505e-15,1.7258048433365405,45,44
Jameson Williams,DET,WR,44.0,4.3,vet,12.649264069264069,2.6470588235294117,12.759274924960415,0.6462038944829394,12.72035351265045,5.956804714567722,12.72035351265045,0.0,1.7258048433365405,46,41
Travis Etienne Jr.,NO,RB,41.9,5.3,vet,13.348392156862744,2.6470588235294117,12.272818662357915,0.5990423993652927,12.70407803002086,7.913078293153824,12.70407803002086,0.0,1.9891051119980843,47,40
Jaylen Waddle,DEN,WR,45.5,5.4,vet,12.542768003975784,2.8181818181818183,12.759274924960415,0.6317546130769396,12.679547250070913,5.956804714567722,12.679547250070913,0.0,1.7258048433365405,48,42
Quinshon Judkins,CLE,RB,51.8,5.8,soph,12.12857142857143,1.0,11.92035768749286,0.8064887327080991,11.960649392396562,8.087792038404505,12.160324696198279,0.19967530380171716,1.421952182600078,49,48
Christian Watson,GB,WR,61.1,8.5,vet,11.954043771043771,2.6470588235294117,12.017118503975786,0.6462038944829394,11.99480290910791,5.956804714567722,11.99480290910791,0.0,1.7258048433365405,50,55
Luther Burden III,CHI,WR,58.5,7.4,soph,9.715384615384616,1.0,12.017118503975786,0.8299991366179679,11.625821755639604,5.519659526545828,11.900657404511684,0.2748356488720791,1.485888222787411,51,51
David Montgomery,HOU,RB,59.0,7.7,vet,12.341600608747436,2.953488372093023,11.038752212162414,0.5724707331543313,11.595758031965463,7.913078293153824,11.642606425572371,0.046848393606907734,1.7791096979280197,52,53
Alec Pierce,IND,WR,58.7,6.8,vet,10.748392857142855,2.6470588235294117,12.017118503975786,0.6462038944829394,11.56824831115668,5.956804714567722,11.516598648925344,-0.051649662231335824,1.5436067782395517,53,52
TreVeyon Henderson,NE,RB,60.3,6.8,soph,12.85625,1.0,11.038752212162414,0.8064887327080991,11.390458512387092,8.087792038404505,11.390458512387093,1.7763568394002505e-15,2.010944061679054,54,54
Rhamondre Stevenson,NE,RB,71.3,7.1,vet,12.68093266632166,2.8181818181818183,10.364818044096594,0.5839072368801086,11.328536576960603,7.913078293153824,11.328536576960603,0.0,1.9891051119980843,55,58
Tony Pollard,TEN,RB,67.2,7.5,vet,11.82906214674626,2.953488372093023,10.364818044096594,0.5724707331543313,10.9908252517855,7.913078293153824,10.8726602014284,-0.11816505035709923,1.7791096979280197,56,57
