name,team,adp,position,curve,out_of_support,board_value,post_SD,pi,sd,value_final,view
Jeremiyah Love,ARI,25.6,RB,14.434106455309395,False,14.434106455309395,3.725867553032533,14.434106455309395,3.725867553032533,13.917053227654698,-0.5170532276546975
Kenneth Walker,KC,26.5,RB,14.434106455309395,False,14.434106455309395,2.5657254701148773,14.434106455309395,2.5657254701148773,15.592053227654699,1.1579467723453032
Breece Hall,NYJ,28.3,RB,13.416324058711414,False,13.416324058711414,2.5657254701148773,13.416324058711414,2.5657254701148773,13.008162029355706,-0.408162029355708
Cam Skattebo,NYG,30.6,RB,13.416324058711414,False,13.416324058711414,3.38266902990673,13.416324058711414,3.38266902990673,13.91816202935571,0.5018379706442957
Kyren Williams,LAR,32.2,RB,13.416324058711414,False,13.416324058711414,2.5657254701148773,13.416324058711414,2.5657254701148773,13.416324058711414,0.0
Javonte Williams,DAL,36.7,RB,13.416324058711414,False,13.416324058711414,2.5300286864461716,13.416324058711414,2.5300286864461716,13.918162029355708,0.5018379706442939
Travis Etienne Jr.,NO,37.1,RB,13.416324058711414,False,13.416324058711414,2.5657254701148773,13.416324058711414,2.5657254701148773,15.803264811742281,2.386940753030867
Bucky Irving,TB,42.8,RB,12.035856922066072,False,12.035856922066072,2.7677662603880653,12.035856922066072,2.7677662603880653,12.035856922066072,0.0
D'Andre Swift,CHI,44.4,RB,12.035856922066072,False,12.035856922066072,2.5119402434091533,12.035856922066072,2.5119402434091533,12.03585692206607,-1.7763568394002505e-15
Quinshon Judkins,CLE,49.8,RB,11.36028003858886,False,11.36028003858886,3.38266902990673,11.36028003858886,3.38266902990673,11.86014001929443,0.4998599807055708
Bhayshul Tuten,JAX,51.2,RB,11.36028003858886,False,11.36028003858886,3.38266902990673,11.36028003858886,3.38266902990673,11.36028003858886,0.0
TreVeyon Henderson,NE,55.7,RB,11.36028003858886,False,11.36028003858886,3.38266902990673,11.36028003858886,3.38266902990673,11.36028003858886,0.0
Tony Pollard,TEN,63.5,RB,10.925918745824406,False,10.925918745824406,2.5028344559234483,10.925918745824406,2.5028344559234483,10.925918745824404,-1.7763568394002505e-15
David Montgomery,HOU,63.6,RB,10.925918745824406,False,10.925918745824406,2.5028344559234483,10.925918745824406,2.5028344559234483,11.106734996659526,0.18081625083511987
Jadarian Price,SEA,64.5,RB,10.925918745824406,False,10.925918745824406,3.725867553032533,10.925918745824406,3.725867553032533,10.925918745824406,0.0
Jaylen Warren,PIT,67.2,RB,10.925918745824406,False,10.925918745824406,2.5657254701148773,10.925918745824406,2.5657254701148773,10.925918745824404,-1.7763568394002505e-15
Rico Dowdle,PIT,71.3,RB,10.925918745824406,False,10.925918745824406,2.6165007446642803,10.925918745824406,2.6165007446642803,10.925918745824406,0.0
Rhamondre Stevenson,NE,72.2,RB,10.925918745824406,False,10.925918745824406,2.5300286864461716,10.925918745824406,2.5300286864461716,10.925918745824406,0.0
Chuba Hubbard,CAR,74.7,RB,10.925918745824406,False,10.925918745824406,2.5300286864461716,10.925918745824406,2.5300286864461716,10.925918745824406,0.0
RJ Harvey,DEN,83.1,RB,9.503735633804158,False,9.503735633804158,3.38266902990673,9.503735633804158,3.38266902990673,9.503735633804158,0.0
Aaron Jones Sr.,MIN,89.4,RB,9.4762971493062,False,9.4762971493062,2.4959778027520705,9.4762971493062,2.4959778027520705,9.4762971493062,0.0
Kenny Gainwell,TB,89.6,RB,9.4762971493062,False,9.4762971493062,2.5300286864461716,9.4762971493062,2.5300286864461716,9.4762971493062,0.0
J.K. Dobbins,DEN,91.4,RB,9.4762971493062,False,9.4762971493062,2.5473978317961334,9.4762971493062,2.5473978317961334,9.4762971493062,0.0
Rachaad White,WAS,98.0,RB,9.4762971493062,False,9.4762971493062,2.5657254701148773,9.4762971493062,2.5657254701148773,9.4762971493062,0.0
Kyle Monangai,CHI,100.1,RB,9.4762971493062,False,9.4762971493062,3.38266902990673,9.4762971493062,3.38266902990673,9.4762971493062,0.0
Jonathon Brooks,CAR,112.2,RB,8.801446416016189,False,8.801446416016189,3.010218613229311,8.801446416016189,3.010218613229311,8.801446416016189,0.0
Jacory Croskey-Merritt,WAS,113.3,RB,8.801446416016189,False,8.801446416016189,3.38266902990673,8.801446416016189,3.38266902990673,8.801446416016189,0.0
Blake Corum,LAR,121.7,RB,8.514685960281549,False,8.514685960281549,2.7677662603880653,8.514685960281549,2.7677662603880653,8.514685960281547,-1.7763568394002505e-15
Jordan Mason,MIN,122.3,RB,8.514685960281549,False,8.514685960281549,2.5657254701148773,8.514685960281549,2.5657254701148773,8.514685960281549,0.0
Tyjae Spears,TEN,126.9,RB,8.371889717425432,False,8.371889717425432,2.6352914885520216,8.371889717425432,2.6352914885520216,8.371889717425432,0.0
Alvin Kamara,NO,132.8,RB,7.491790151433535,False,7.491790151433535,2.4959778027520705,7.491790151433535,2.4959778027520705,7.491790151433535,0.0
Zach Charbonnet,SEA,139.1,RB,7.491790151433535,False,7.491790151433535,2.6352914885520216,7.491790151433535,2.6352914885520216,7.491790151433535,0.0
Woody Marks,HOU,144.7,RB,7.491790151433535,False,7.491790151433535,3.38266902990673,7.491790151433535,3.38266902990673,7.491790151433535,0.0
Isiah Pacheco,DET,148.9,RB,7.491790151433535,False,7.491790151433535,2.5657254701148773,7.491790151433535,2.5657254701148773,7.491790151433535,0.0
