name,team,adp,position,value_final,rk,adp_rk,edge
Jadarian Price,SEA,64.5,RB,10.925918745824406,103,65,-38
Tony Pollard,TEN,63.5,RB,10.925918745824404,104,62,-42
Jaylen Warren,PIT,67.2,RB,10.925918745824404,105,68,-37
Xavier Worthy,KC,104.4,WR,10.82380934425052,106,107,1
Jordan Addison,MIN,102.8,WR,10.82380934425052,107,105,-2
Khalil Shakir,BUF,101.1,WR,10.82380934425052,108,104,-4
Deebo Samuel Sr.,SF,97.7,WR,10.82380934425052,109,100,-9
Kyle Pitts,,78.5,TE,10.353369451689588,110,81,-29
Harold Fannin Jr.,,81.5,TE,10.353369451689588,111,83,-28
Sam LaPorta,,87.6,TE,10.353369451689588,112,88,-24
Travis Kelce,,99.6,TE,10.353369451689588,113,102,-11
Dallas Goedert,,105.3,TE,10.353369451689588,114,108,-6
Romeo Doubs,NE,111.1,WR,10.169649826735766,115,114,-1
Jauan Jennings,MIN,140.9,WR,10.169649826735766,116,140,24
Theo Wease Jr.,MIA,136.5,WR,10.169649826735766,117,134,17
Tre Tucker,LV,136.2,WR,10.169649826735766,118,133,15
Jayden Higgins,HOU,135.6,WR,10.169649826735766,119,132,13
Makai Lemon,PHI,106.4,WR,10.169649826735766,120,110,-10
Jerry Jeudy,CLE,133.6,WR,10.169649826735766,121,131,10
Calvin Ridley,TEN,130.2,WR,10.169649826735766,122,129,7
KC Concepcion,CLE,129.2,WR,10.169649826735766,123,128,5
Matthew Golden,GB,119.9,WR,10.169649826735766,124,121,-3
Rashid Shaheed,SEA,119.0,WR,10.169649826735766,125,119,-6
John Metchie III,CAR,116.3,WR,10.169649826735766,126,117,-9
Jalen Coker,CAR,126.1,WR,10.169649826735762,127,125,-2
Ricky Pearsall,SF,118.3,WR,10.169649826735762,128,118,-10
Jake Ferguson,,141.1,TE,10.059453965152493,129,141,12
Isaiah Likely,,139.2,TE,10.059453965152493,130,138,8
Mark Andrews,,138.6,TE,10.059453965152493,131,136,5
George Kittle,,121.0,TE,10.059453965152493,132,122,-10
