frame,window,pos,bin,hitdef,tier,outcome_def,n,k,rate,wilson_lo,wilson_hi,n_per_season
12team,season 2018,RB,R7-8,value_P,value,ppg_ge4,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,9.0
12team,season 2019,RB,R7-8,top12_T,top12,total,9,0,0.0,0.0,0.2991527535509594,9.0
12team,season 2019,RB,R7-8,top12_P,top12,ppg_ge4,9,0,0.0,0.0,0.2991527535509594,9.0
12team,season 2019,RB,R7-8,top24_T,top24,total,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2019,RB,R7-8,top24_P,top24,ppg_ge4,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2019,RB,R7-8,top36_T,top36,total,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,9.0
12team,season 2019,RB,R7-8,top36_P,top36,ppg_ge4,9,2,0.2222222222222222,0.06322376231222723,0.5474166563271946,9.0
12team,season 2019,RB,R7-8,value_T,value,total,9,2,0.2222222222222222,0.06322376231222723,0.5474166563271946,9.0
12team,season 2019,RB,R7-8,value_P,value,ppg_ge4,9,2,0.2222222222222222,0.06322376231222723,0.5474166563271946,9.0
12team,season 2020,RB,R7-8,top12_T,top12,total,9,0,0.0,0.0,0.2991527535509594,9.0
12team,season 2020,RB,R7-8,top12_P,top12,ppg_ge4,7,0,0.0,0.0,0.35433884297520657,7.0
12team,season 2020,RB,R7-8,top24_T,top24,total,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2020,RB,R7-8,top24_P,top24,ppg_ge4,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,7.0
12team,season 2020,RB,R7-8,top36_T,top36,total,9,2,0.2222222222222222,0.06322376231222723,0.5474166563271946,9.0
12team,season 2020,RB,R7-8,top36_P,top36,ppg_ge4,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,7.0
12team,season 2020,RB,R7-8,value_T,value,total,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2020,RB,R7-8,value_P,value,ppg_ge4,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,7.0
12team,season 2021,RB,R7-8,top12_T,top12,total,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2021,RB,R7-8,top12_P,top12,ppg_ge4,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2021,RB,R7-8,top24_T,top24,total,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,9.0
12team,season 2021,RB,R7-8,top24_P,top24,ppg_ge4,9,2,0.2222222222222222,0.06322376231222723,0.5474166563271946,9.0
12team,season 2021,RB,R7-8,top36_T,top36,total,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,9.0
12team,season 2021,RB,R7-8,top36_P,top36,ppg_ge4,9,5,0.5555555555555556,0.2666473457440297,0.811224570528086,9.0
12team,season 2021,RB,R7-8,value_T,value,total,9,5,0.5555555555555556,0.2666473457440297,0.811224570528086,9.0
12team,season 2021,RB,R7-8,value_P,value,ppg_ge4,9,5,0.5555555555555556,0.2666473457440297,0.811224570528086,9.0
12team,season 2022,RB,R7-8,top12_T,top12,total,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,7.0
12team,season 2022,RB,R7-8,top12_P,top12,ppg_ge4,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,7.0
12team,season 2022,RB,R7-8,top24_T,top24,total,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,7.0
12team,season 2022,RB,R7-8,top24_P,top24,ppg_ge4,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,7.0
12team,season 2022,RB,R7-8,top36_T,top36,total,7,4,0.5714285714285714,0.2504542304090258,0.8417830777373732,7.0
12team,season 2022,RB,R7-8,top36_P,top36,ppg_ge4,7,4,0.5714285714285714,0.2504542304090258,0.8417830777373732,7.0
12team,season 2022,RB,R7-8,value_T,value,total,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,7.0
12team,season 2022,RB,R7-8,value_P,value,ppg_ge4,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,7.0
12team,season 2023,RB,R7-8,top12_T,top12,total,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2023,RB,R7-8,top12_P,top12,ppg_ge4,9,0,0.0,0.0,0.2991527535509594,9.0
12team,season 2023,RB,R7-8,top24_T,top24,total,9,5,0.5555555555555556,0.2666473457440297,0.811224570528086,9.0
12team,season 2023,RB,R7-8,top24_P,top24,ppg_ge4,9,5,0.5555555555555556,0.2666473457440297,0.811224570528086,9.0
12team,season 2023,RB,R7-8,top36_T,top36,total,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,9.0
12team,season 2023,RB,R7-8,top36_P,top36,ppg_ge4,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,9.0
12team,season 2023,RB,R7-8,value_T,value,total,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,9.0
12team,season 2023,RB,R7-8,value_P,value,ppg_ge4,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,9.0
12team,season 2024,RB,R7-8,top12_T,top12,total,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2024,RB,R7-8,top12_P,top12,ppg_ge4,8,0,0.0,0.0,0.3244156195108769,8.0
12team,season 2024,RB,R7-8,top24_T,top24,total,9,2,0.2222222222222222,0.06322376231222723,0.5474166563271946,9.0
12team,season 2024,RB,R7-8,top24_P,top24,ppg_ge4,8,2,0.25,0.07147768885802763,0.5907301208974108,8.0
