pos,gsis_id,season,mean_t,mean_t1,p25_t,p25_t1,p90_t,p90_t1,iqr_t,iqr_t1,sd_t,sd_t1,bust_t,bust_t1,boom_t,boom_t1
RB,00-0037256,2024,13.306666666666668,8.411764705882353,9.2,5.2,22.539999999999996,15.8,6.949999999999999,3.3999999999999995,7.005453657856923,5.498054468734961,0.03205207269030623,0.1251257329780572,0.39962430196536164,0.21266965763013984
WR,00-0037261,2023,10.766666666666666,12.166666666666666,7.5,8.6,17.3,19.619999999999997,7.699999999999999,6.85,5.441736855085883,5.566695180993409,0.40839790088305006,0.28662874119155196,0.14466998515521562,0.139408339127078
WR,00-0037261,2024,12.166666666666666,10.4,8.6,7.125,19.619999999999997,17.45,6.85,6.100000000000001,5.566695180993409,5.800689614175197,0.28662874119155196,0.33655388539401077,0.139408339127078,0.09402929312487787
RB,00-0037263,2022,9.9625,8.094117647058825,4.949999999999999,4.8,17.0,15.8,9.100000000000001,6.2,6.0604592785255695,6.082605382177453,0.07968633022640428,0.16883692228105984,0.26935373551021563,0.259869960176014
RB,00-0037263,2023,8.094117647058825,6.581250000000001,4.8,3.275,15.8,11.15,6.2,4.799999999999999,6.082605382177453,4.59437609112126,0.16883692228105984,0.12710286739071155,0.259869960176014,0.1266443017404872
RB,00-0037263,2024,6.581250000000001,7.23529411764706,3.275,2.3,11.15,14.100000000000001,4.799999999999999,8.5,4.59437609112126,5.3498763042324855,0.12710286739071155,0.34529282646370496,0.1266443017404872,0.16659590488639034
WR,00-0037291,2024,7.2250000000000005,8.174999999999999,2.4749999999999996,5.225,14.200000000000001,18.470000000000002,9.325000000000001,3.0,6.038079917565607,6.71851241651819,0.4828325388291175,0.5976463046830479,0.1247194815372106,0.11215272502107379
RB,00-0037525,2023,4.966666666666666,10.409090909090908,1.1,5.05,10.26,22.2,7.6,9.05,4.514975082987724,7.802237441331115,0.3568572289867124,0.23124808555468404,0.11405215071999167,0.3048019042036608
RB,00-0037525,2024,10.409090909090908,8.056249999999999,5.05,4.175,22.2,12.149999999999999,9.05,6.500000000000001,7.802237441331115,5.499693173259759,0.23124808555468404,0.17695090496222435,0.3048019042036608,0.1263432602775058
WR,00-0037545,2022,9.45,10.506666666666668,7.0249999999999995,5.6,15.28,19.959999999999997,5.075,11.299999999999999,5.087800535173749,7.027137871613639,0.40545480063662576,0.5377085324772135,0.10031267108135442,0.15020987601201602
WR,00-0037614,2023,2.38,5.966666666666666,1.6,3.6,4.05,11.520000000000001,1.6749999999999998,2.6999999999999997,1.3563021623353533,5.445869994775857,0.7883406315747093,0.5697102082196379,0.08385958830725389,0.13494056048683734
WR,00-0037614,2024,5.966666666666666,7.611111111111111,3.6,5.0,11.520000000000001,14.5,2.6999999999999997,2.4000000000000004,5.445869994775857,5.295857920215677,0.5697102082196379,0.5857982198503991,0.13494056048683734,0.07477658886797538
WR,00-0037664,2022,7.018750000000001,5.3,2.4749999999999996,2.15,15.0,7.9,7.65,4.75,5.88843145498018,4.618595952389489,0.5303117382523664,0.7405795598056496,0.06667315057674975,0.06625947264599857
WR,00-0037664,2023,5.3,10.0875,2.15,3.15,7.9,21.95,4.75,13.825000000000001,4.618595952389489,8.312871545581185,0.7405795598056496,0.44349082511383386,0.06625947264599857,0.18207604917753872
WR,00-0037664,2024,10.0875,12.907142857142857,3.15,7.325,21.95,22.740000000000006,13.825000000000001,10.400000000000002,8.312871545581185,8.161208836338503,0.44349082511383386,0.32201004423750457,0.18207604917753872,0.1462445616293952
WR,00-0037740,2022,12.688235294117648,12.541176470588237,5.7,8.4,25.08,17.880000000000003,12.2,8.6,8.567809109753581,5.458486377138975,0.37732649694158266,0.21190708724116353,0.1846864064498719,0.09985205410958245
WR,00-0037740,2023,12.541176470588237,14.817647058823528,8.4,9.1,17.880000000000003,26.46,8.6,8.500000000000002,5.458486377138975,7.237423168341551,0.21190708724116353,0.1823336004571133,0.09985205410958245,0.17799422607338053
TE,00-0037744,2022,7.475,11.919999999999998,5.2250000000000005,5.550000000000001,12.889999999999999,22.18,2.4749999999999988,11.05,5.874338868575522,7.223097871214459,0.1287760847625881,0.0450022625233318,0.28127428010979694,0.3946839682145517
TE,00-0037744,2023,11.919999999999998,15.2375,5.550000000000001,10.85,22.18,23.450000000000003,11.05,9.125000000000002,7.223097871214459,7.1266518553011045,0.0450022625233318,0.05899682395104557,0.3946839682145517,0.551712432345135
TE,00-0037744,2024,15.2375,18.58235294117647,10.85,12.2,23.450000000000003,28.38,9.125000000000002,11.400000000000002,7.1266518553011045,8.366468437617335,0.05899682395104557,0.056325831669019624,0.551712432345135,0.5744955080575049
RB,00-0037746,2022,9.391666666666666,13.206666666666667,5.775,8.350000000000001,14.45,24.699999999999996,6.5,5.249999999999998,5.428285906139053,7.075961990799419,0.16153894307856229,0.024945665897580967,0.21548796831206238,0.2348228228762093
RB,00-0037746,2023,13.206666666666667,11.414285714285713,8.350000000000001,8.675,24.699999999999996,17.9,5.249999999999998,5.824999999999999,7.075961990799419,5.771529212483417,0.024945665897580967,0.14069372538173164,0.2348228228762093,0.36585794566145985
