name,position,team,adp_aug18,stdev,times_drafted,adp_jul13,adp_aug08,d_jul_aug18,d_aug08_aug18
LA Rams Defense,DEF,LAR,112.7,17.7,620,106.9,135.4,5.799999999999997,-22.700000000000003
Minnesota Defense,DEF,MIN,113.5,12.1,95,137.1,119.6,-23.599999999999994,-6.099999999999994
Kyle Monangai,RB,CHI,113.8,15.1,727,105.2,100.1,8.599999999999994,13.700000000000003
Matthew Golden,WR,GB,114.2,11.5,575,112.6,119.9,1.6000000000000085,-5.700000000000003
Jaxson Dart,QB,NYG,114.5,14.9,391,116.4,104.3,-1.9000000000000057,10.200000000000003
George Kittle,TE,SF,115.3,18.5,616,105.9,121.0,9.399999999999991,-5.700000000000003
Dallas Goedert,TE,PHI,116.3,18.5,304,122.0,105.3,-5.700000000000003,11.0
Bo Nix,QB,DEN,116.6,12.8,536,117.0,119.7,-0.4000000000000057,-3.1000000000000085
Jacory Croskey-Merritt,RB,WAS,117.0,15.2,695,121.7,113.3,-4.700000000000003,3.700000000000003
Jalen Coker,WR,CAR,121.8,10.1,302,113.9,126.1,7.8999999999999915,-4.299999999999997
Blake Corum,RB,LAR,122.6,17.4,1191,121.2,121.7,1.3999999999999915,0.8999999999999915
John Metchie III,WR,CAR,123.0,11.6,22,,116.3,,6.700000000000003
Jordan Mason,RB,MIN,123.1,15.0,1046,130.6,122.3,-7.5,0.7999999999999972
KC Concepcion,WR,CLE,125.1,10.7,662,120.4,129.2,4.699999999999989,-4.099999999999994
New England Defense,DEF,NE,126.5,15.6,250,120.8,138.7,5.700000000000003,-12.199999999999989
Jayden Higgins,WR,HOU,128.0,11.4,423,119.5,135.6,8.5,-7.599999999999994
Rashid Shaheed,WR,SEA,128.1,11.4,465,129.2,119.0,-1.0999999999999943,9.099999999999994
Philadelphia Defense,DEF,PHI,129.1,15.8,349,126.8,139.6,2.299999999999997,-10.5
Baker Mayfield,QB,TB,129.6,10.1,362,128.6,128.1,1.0,1.5
Brandon Aubrey,PK,DAL,130.2,22.7,1715,132.5,131.5,-2.3000000000000114,-1.3000000000000114
Jerry Jeudy,WR,CLE,130.2,14.0,187,138.1,133.6,-7.900000000000006,-3.4000000000000057
Mark Andrews,TE,BAL,131.7,19.0,357,128.1,138.6,3.5999999999999943,-6.900000000000006
Detroit Defense,DEF,DET,132.2,14.9,96,143.6,127.3,-11.400000000000006,4.8999999999999915
Tre Tucker,WR,LV,132.9,9.3,179,136.9,136.2,-4.0,-3.299999999999983
Jake Ferguson,TE,DAL,133.0,18.2,379,116.5,141.1,16.5,-8.099999999999994
Tyjae Spears,RB,TEN,133.5,16.9,90,138.4,126.9,-4.900000000000006,6.599999999999994
Isaiah Likely,TE,NYG,136.2,17.8,1115,139.1,139.2,-2.9000000000000057,-3.0
Tyler Shough,QB,NO,136.4,9.3,232,143.9,136.7,-7.5,-0.29999999999998295
Kyler Murray,QB,MIN,136.5,13.8,497,150.3,145.0,-13.800000000000011,-8.5
Theo Wease Jr.,WR,MIA,138.0,10.3,43,,136.5,,1.5
Pittsburgh Defense,DEF,PIT,138.0,16.3,312,145.5,156.9,-7.5,-18.900000000000006
Zach Charbonnet,RB,SEA,138.7,17.1,503,156.0,139.1,-17.30000000000001,-0.4000000000000057
Jalen McMillan,WR,TB,139.8,15.6,139,143.3,143.8,-3.5,-4.0
Calvin Ridley,WR,TEN,140.0,11.7,85,145.2,130.2,-5.199999999999989,9.800000000000011
Oronde Gadsden,TE,LAC,140.7,32.4,7,154.0,158.6,-13.300000000000011,-17.900000000000006
Jason Myers,PK,SEA,142.1,16.7,171,133.9,133.9,8.199999999999989,8.199999999999989
Ka'imi Fairbairn,PK,HOU,142.7,18.9,104,133.6,138.1,9.099999999999994,4.599999999999994
Jordan Love,QB,GB,143.1,12.5,240,131.6,148.4,11.5,-5.300000000000011
Sam Darnold,QB,SEA,143.3,11.6,100,147.7,140.1,-4.399999999999977,3.200000000000017
Jauan Jennings,WR,MIN,143.5,10.9,60,130.5,140.9,13.0,2.5999999999999943
Cameron Dicker,PK,LAC,143.5,17.9,171,141.3,144.9,2.1999999999999886,-1.4000000000000057
LA Chargers Defense,DEF,LAC,144.5,14.7,619,158.8,145.5,-14.300000000000011,-1.0
Alvin Kamara,RB,NO,144.7,18.4,329,155.2,132.8,-10.5,11.899999999999977
Jake Elliott,PK,PHI,144.8,40.9,6,,,,
Denzel Boston,WR,CLE,144.9,15.0,216,135.7,154.9,9.200000000000017,-10.0
Rashod Bateman,WR,BAL,146.1,15.7,43,155.2,148.2,-9.099999999999994,-2.0999999999999943
Jake Bates,PK,DET,147.0,20.7,161,142.7,145.5,4.300000000000011,1.5
Joey Slye,PK,TEN,148.0,0.0,8,,,,
Juwan Johnson,TE,NO,149.2,25.5,83,144.1,160.3,5.099999999999994,-11.100000000000023
De'Zhaun Stribling,WR,SF,149.3,16.4,601,,156.9,,-7.599999999999994
Ty Johnson,RB,BUF,149.7,39.3,14,,167.0,,-17.30000000000001
Mike Washington Jr.,RB,LV,150.4,20.9,21,,162.2,,-11.799999999999983
Chimere Dike,WR,TEN,150.5,10.5,8,,,,
Woody Marks,RB,HOU,150.7,15.2,146,140.9,144.7,9.799999999999983,6.0
Braelon Allen,RB,NYJ,150.8,21.1,33,,,,
Malik Washington,WR,MIA,151.4,15.6,224,156.6,155.7,-5.199999999999989,-4.299999999999983
