year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2020,Odell Beckham Jr.,00-0031235,35.7,12,2014,6,6,14.469999999999999,vet,True,14.182675941506096,14.183591681330652,0.2864083186693467,0.28732405849390297
2020,JuJu Smith-Schuster,00-0033857,36.9,13,2017,3,16,14.63125,vet,True,14.108214083862622,14.183591681330652,0.44765831866934747,0.5230359161373777
2020,Amari Cooper,00-0031544,38.1,14,2015,5,16,14.8,vet,True,14.036135419140072,14.133351985789945,0.6666480142100557,0.7638645808599289
2020,Cooper Kupp,00-0033908,40.3,15,2017,3,15,14.046666666666665,vet,True,13.909699539140668,14.133351985789945,-0.08668531912327992,0.13696712752599716
2020,Calvin Ridley,00-0034837,40.9,16,2018,2,15,18.766666666666666,vet,True,13.876414213395922,14.133351985789945,4.633314680876721,4.890252453270744
2020,Robert Woods,00-0030431,42.4,17,2013,7,16,15.31875,vet,True,13.79529142096483,13.68010859492245,1.63864140507755,1.5234585790351698
2020,A.J. Brown,00-0035676,44.4,18,2019,1,14,17.678571428571427,soph,True,13.691481985025332,13.68010859492245,3.9984628336489774,3.987089443546095
2020,DK Metcalf,00-0035640,45.3,19,2019,1,16,16.95625,soph,True,13.646284494066103,13.68010859492245,3.276141405077551,3.3099655059338975
2020,DJ Chark,00-0034777,47.5,20,2018,2,13,11.815384615384614,vet,True,13.53947600517925,13.68010859492245,-1.8647239795378354,-1.7240913897946353
2020,Tyler Lockett,00-0032211,49.9,21,2015,5,16,16.5875,vet,True,13.428458902300266,13.555967770655272,3.0315322293447267,3.159041097699733
2020,Terry McLaurin,00-0035659,50.8,22,2019,1,15,14.92,soph,True,13.388198854254242,13.555967770655272,1.364032229344728,1.5318011457457583
2020,Keenan Allen,00-0030279,53.5,23,2013,7,14,17.507142857142856,vet,True,13.271564582728665,13.11668762609939,4.390455231043466,4.235578274414191
2020,T.Y. Hilton,00-0029608,57.5,24,2012,8,15,10.946666666666667,vet,True,13.109168781804293,12.496525615649945,-1.5498589489832781,-2.1625021151376256
2020,Courtland Sutton,00-0034348,58.1,25,2018,2,1,9.6,vet,False,13.085788647463197,12.496525615649945,-2.8965256156499457,-3.485788647463197
2020,Hollywood Brown,00-0035662,60.0,26,2019,1,16,11.4375,soph,True,13.013313207161206,12.496525615649945,-1.0590256156499454,-1.5758132071612057
2020,Stefon Diggs,00-0031588,65.0,27,2015,5,16,20.5375,vet,True,12.833035734143332,12.496525615649945,8.040974384350056,7.70446426585667
2020,DeVante Parker,00-0031547,66.7,28,2015,5,14,11.87857142857143,vet,True,12.774887443182505,12.496525615649945,-0.6179541870785155,-0.8963160146110756
2020,A.J. Green,00-0027942,69.8,29,2011,9,14,7.95,vet,True,12.672569120777418,11.833267719934385,-3.883267719934385,-4.722569120777417
2020,Will Fuller,00-0033127,70.5,30,2016,4,10,18.89,vet,True,12.650094433435056,11.833267719934385,7.056732280065615,6.2399055665649446
2021,Davante Adams,00-0031381,6.4,1,2014,7,16,21.51875,vet,True,18.053989518564833,18.25394794129773,3.2648020587022692,3.4647604814351673
2021,Tyreek Hill,00-0033040,10.6,2,2016,5,17,17.441176470588236,vet,True,16.917595145383302,18.00710576923077,-0.5659292986425335,0.5235813252049333
2021,Stefon Diggs,00-0031588,13.5,3,2015,6,17,16.794117647058822,vet,True,16.372916843972977,16.281429738562093,0.51268790849673,0.4212008030858456
2021,DeAndre Hopkins,00-0030564,17.0,4,2013,8,10,14.719999999999999,vet,True,15.853716234032643,16.174372178623514,-1.4543721786235153,-1.1337162340326437
2021,Calvin Ridley,00-0034837,18.0,5,2018,3,5,14.219999999999999,vet,True,15.724980279087148,16.174372178623514,-1.9543721786235153,-1.5049802790871496
2021,DK Metcalf,00-0035640,19.7,6,2019,2,17,14.370588235294118,vet,True,15.521720300020633,15.309814510824573,-0.939226275530455,-1.1511320647265144
2021,Justin Jefferson,00-0036322,22.4,7,2020,1,17,19.435294117647057,soph,True,15.232434016321577,15.309814510824573,4.125479606822484,4.202860101325481
2021,A.J. Brown,00-0035676,24.8,8,2019,2,13,13.915384615384616,vet,True,15.003192309481946,15.179405480140774,-1.2640208647561586,-1.0878076940973305
2021,Keenan Allen,00-0030279,25.9,9,2013,8,16,16.1125,vet,True,14.90544550452395,15.179405480140774,0.9330945198592264,1.2070544954760507
2021,CeeDee Lamb,00-0036358,29.6,10,2020,1,16,14.55,soph,True,14.604697282348734,14.888359769943483,-0.33835976994348194,-0.05469728234873372
2021,Terry McLaurin,00-0035659,30.3,11,2019,2,17,12.558823529411764,vet,True,14.552054277006727,14.888359769943483,-2.329536240531718,-1.9932307475949624
2021,Allen Robinson II,00-0031428,32.7,12,2014,7,12,7.25,vet,True,14.38036996988675,14.888359769943483,-7.638359769943483,-7.13036996988675
2021,Robert Woods,00-0030431,35.1,13,2013,8,9,15.244444444444444,vet,True,14.220850856253342,14.183591681330652,1.0608527631137914,1.0235935881911011
