player_id,name,season,n_games,adot,target_share,yac_per_rec,td_per_target,slot,ppg,cluster,is_top30_recent
00-0030279,Keenan Allen,2025,17,8.418,0.2144,2.8519,0.0328,0,10.7471,1,False
00-0030300,Jaron Brown,2017,11,14.8485,0.1542,2.5,0.0303,0,7.2,1,False
00-0030400,Marlon Brown,2014,8,10.3846,0.0912,4.2,0.0,0,5.0875,1,False
00-0030431,Robert Woods,2014,16,9.3846,0.1796,3.0462,0.0481,0,10.3062,1,False
00-0030431,Robert Woods,2015,13,10.4304,0.1941,3.2979,0.038,0,9.0923,1,False
00-0030431,Robert Woods,2016,13,11.0132,0.1934,2.4314,0.0132,0,9.1462,1,False
00-0030431,Robert Woods,2017,12,10.1882,0.2219,5.4286,0.0588,0,13.6083,1,False
00-0030431,Robert Woods,2018,16,11.4077,0.2289,4.8837,0.0462,0,16.6,1,False
00-0030431,Robert Woods,2019,15,8.4101,0.2264,6.4,0.0144,0,15.5267,1,False
00-0030431,Robert Woods,2020,16,6.9612,0.2186,5.4889,0.0465,0,15.3188,1,False
00-0030431,Robert Woods,2021,9,8.1594,0.2123,4.4,0.058,0,15.2444,1,False
00-0030431,Robert Woods,2022,17,7.8681,0.1996,2.9434,0.022,0,6.9235,1,False
00-0030431,Robert Woods,2023,13,9.76,0.1589,3.15,0.0133,0,6.8692,1,False
00-0030431,Robert Woods,2024,10,9.1786,0.0814,3.6842,0.0,0,3.65,1,False
00-0030450,Quinton Patton,2015,14,8.1964,0.1197,7.1333,0.0179,0,5.4214,0,False
00-0030450,Quinton Patton,2016,12,8.8226,0.1671,5.5278,0.0,0,6.3,1,False
00-0030460,Markus Wheaton,2014,16,12.5581,0.1405,2.9623,0.0233,0,8.2062,1,False
00-0030460,Markus Wheaton,2015,15,14.3974,0.1383,3.4884,0.0641,0,9.8733,0,False
00-0030516,Brice Butler,2014,12,11.2059,0.0681,3.6842,0.0588,0,4.9083,1,False
00-0030516,Brice Butler,2016,8,13.0769,0.1012,1.3077,0.0769,0,5.225,0,False
00-0030516,Brice Butler,2017,9,16.8,0.0664,2.5,0.15,0,6.7444,0,False
00-0030521,Justin Hunter,2014,12,15.6418,0.1777,6.3571,0.0448,0,7.9833,0,False
00-0030521,Justin Hunter,2015,9,12.1613,0.104,1.5,0.0323,0,6.0444,1,False
00-0030525,Tavon Austin,2014,14,3.6977,0.0968,5.4516,0.0,0,6.6786,0,False
00-0030525,Tavon Austin,2015,16,7.6782,0.1839,6.6923,0.0575,0,12.5438,1,False
00-0030525,Tavon Austin,2016,15,6.8113,0.2103,4.6897,0.0283,0,9.7867,1,False
00-0030525,Tavon Austin,2021,10,8.5278,0.1029,2.8333,0.0278,0,5.34,1,False
00-0030532,Stedman Bailey,2014,11,11.5778,0.124,6.2069,0.0222,0,7.1909,0,False
00-0030542,Terrance Williams,2014,15,15.8154,0.1444,2.973,0.1231,0,9.8067,0,False
00-0030542,Terrance Williams,2015,16,13.1075,0.1761,5.2885,0.0323,0,9.625,0,False
00-0030542,Terrance Williams,2016,14,12.1333,0.1425,3.6744,0.0667,0,8.85,1,False
00-0030542,Terrance Williams,2017,16,8.5256,0.1582,4.3396,0.0,0,6.9562,1,False
00-0030564,DeAndre Hopkins,2014,16,12.9291,0.2619,4.9079,0.0472,0,14.4375,1,False
00-0030564,DeAndre Hopkins,2015,16,14.1354,0.3102,2.027,0.0573,0,20.6937,1,False
00-0030564,DeAndre Hopkins,2016,16,11.6026,0.259,3.5769,0.0265,0,12.3375,1,False
00-0030564,DeAndre Hopkins,2017,15,12.8333,0.3473,3.7396,0.0747,0,20.6533,1,False
00-0030564,DeAndre Hopkins,2018,16,11.4663,0.3221,3.3652,0.0675,0,20.8438,1,False
