rank_model,name,team,adp,adp_rank,tier,n_seasons,n_games,mu_hat,n_eff,m_deep,tau2,B,theta_star,post_SD,arm,board_value,delta_rank_vs_adp,thin_data_flag,team_2025,g_2025,ppg_2025,targets,tgt_share_2025,ay_share_2025,snap_share_2025,rz_tgt_share_2025,i10_tgt_share_2025,rec_tds,team_vacated_share_2026,position,carries,carry_share_full,touches_pg,gl10_carries,sig,pi,value,view
33,Michael Pittman Jr.,PIT,72.2,35,vet,6,94,12.114161220043574,2.9076923076923076,12.739458663273002,10.782394134943546,0.579126763028035,12.47628770427074,2.4988743491945176,m_deep (market),12.739458663273002,2,,IND,17.0,11.905882352941177,111.0,0.2094339622641509,0.2070776255707762,0.8563432835820896,0.1785714285714285,0.2222222222222222,7.0,0.4789272030651341,WR,,,,,6.244373013062324,12.739458663273002,12.739458663273,-1.7763568394002505e-15
34,Luther Burden III,CHI,53.4,27,soph,1,13,9.715384615384616,1.0,13.173062271062271,9.389576648040723,0.8088492921551105,12.512124739680027,2.7558578383878753,theta_star,12.512124739680027,-7,single season: n_eff = 1,CHI,15.0,8.526666666666667,60.0,0.112781954887218,0.093042071197411,0.398019801980198,0.0606060606060606,0.0,2.0,0.3026315789473684,WR,,,,,7.594752425403893,12.512124739680027,13.206062369840014,0.6939376301599864
35,Parker Washington,JAX,75.4,36,vet,3,29,10.881190476190474,2.3333333333333335,12.43820922971078,10.782394134943546,0.6316382999991158,11.86466315473078,2.6097074742806288,m_deep (market),12.43820922971078,1,,JAX,16.0,11.54375,95.0,0.1736745886654479,0.2432377049180328,0.6187845303867403,0.1627906976744186,0.1111111111111111,5.0,0.3235831809872029,WR,,,,,6.810573101316178,12.43820922971078,12.438209229710779,-1.7763568394002505e-15
36,Jakobi Meyers,JAX,76.1,37,vet,7,97,12.445239356444082,2.953488372093023,12.43820922971078,10.782394134943546,0.5753131613547278,12.441194832008422,2.490633103599775,m_deep (market),12.43820922971078,1,,JAX,16.0,10.9875,110.0,0.2010968921389396,0.2065573770491803,0.8482490272373541,0.1744186046511628,0.1666666666666666,3.0,0.3235831809872029,WR,,,,,6.203253256747047,12.43820922971078,12.43820922971078,0.0
37,Carnell Tate,TEN,76.4,38,rookie,0,0,,0.0,12.43820922971078,11.422710913543565,1.0,12.43820922971078,3.3797501259033287,m_deep (market),12.43820922971078,1,no NFL rows: full shrinkage to market,,,,,,,,,,,0.3094339622641509,WR,,,,,11.422710913543566,12.43820922971078,12.43820922971078,0.0
38,Alec Pierce,IND,55.5,28,vet,4,61,10.748392857142855,2.6470588235294117,12.853924073475545,10.782394134943546,0.6018310388772187,12.015566896456772,2.5473867911679027,theta_star,12.015566896456772,-10,,IND,15.0,12.22,84.0,0.1584905660377358,0.3636986301369863,0.8603174603174604,0.1071428571428571,0.1111111111111111,6.0,0.2886792452830188,WR,,,,,6.489179463816704,12.015566896456772,11.874453517165417,-0.1411133792913546
39,Brian Thomas Jr.,JAX,83.0,39,vet,2,31,12.178151260504205,1.8,11.063778356464836,10.782394134943546,0.6897097655400394,11.409557386135038,2.7270354839591304,m_deep (market),11.063778356464836,0,,JAX,14.0,9.914285714285716,91.0,0.1663619744058501,0.2694672131147541,0.7759162303664922,0.0813953488372093,0.1388888888888889,2.0,0.3235831809872029,WR,,,,,7.436722530772209,11.063778356464836,11.063778356464836,0.0
40,Jordyn Tyson,NO,85.6,40,rookie,0,0,,0.0,11.063778356464836,11.422710913543565,1.0,11.063778356464836,3.3797501259033287,m_deep (market),11.063778356464836,0,no NFL rows: full shrinkage to market,,,,,,,,,,,0.2761061946902655,WR,,,,,11.422710913543566,11.063778356464836,11.063778356464836,0.0
41,Michael Wilson,ARI,87.8,41,vet,3,45,11.0447963800905,2.3333333333333335,11.063778356464836,10.782394134943546,0.6316382999991158,11.05678612337821,2.6097074742806288,m_deep (market),11.063778356464836,0,,ARI,17.0,12.976470588235294,126.0,0.2042139384116693,0.3223175965665236,0.813215859030837,0.1584158415841584,0.1176470588235294,7.0,0.2593192868719611,WR,,,,,6.810573101316178,11.063778356464836,11.063778356464836,0.0
42,Chris Godwin Jr.,TB,88.1,42,vet,9,115,13.492600492251697,2.9883040935672516,11.063778356464836,10.782394134943546,0.5724473704445884,12.102227647342898,2.484422099733776,m_deep (market),11.063778356464836,0,,TB,9.0,9.22222222222222,51.0,0.0942698706099815,0.0801509769094138,0.7074380165289256,0.0985915492957746,0.217391304347826,2.0,0.3049907578558225,WR,,,,,6.172353169645583,11.063778356464836,11.063778356464836,0.0
