pos,a,b,adp_a,adp_b,val_a,val_b,d_p25,d_p90,d_bust,d_boom,shape_dist,p25_a,p25_b,p90_a,p90_b,bust_a,bust_b,boom_a,boom_b,n_a,n_b
RB,Cam Skattebo,Javonte Williams,30.6,36.7,14.169081014677856,14.169081014677854,4.95,5.75,0.0646765168447568,0.18812662951779752,10.7,12.25,7.3,26.17,20.42,0.1354566140890037,0.0707800972442469,0.5169172998990703,0.3287906703812728,8,49
RB,TreVeyon Henderson,David Montgomery,55.7,63.6,11.36028003858886,11.25138799732762,-2.8000000000000007,7.879999999999999,0.0691989699570078,-0.1526389929008652,10.68,5.5,8.3,28.84,20.96,0.1259077277122557,0.0567087577552479,0.2621370787839473,0.4147760716848125,17,45
WR,Romeo Doubs,Matthew Golden,111.1,119.9,10.169649826735766,10.169649826735766,3.275,7.379999999999999,-0.17701969235305792,-0.032405114138564596,10.655,6.0,2.725,18.56,11.18,0.3762659640045022,0.5532856563575601,0.0573406303081617,0.0897457444467263,45,12
RB,Tyrone Tracy Jr.,Tyler Allgeier,156.1,161.4,7.491790151433533,7.481169871794872,2.8999999999999995,7.619999999999997,-0.1251202140632791,0.1944224518147907,10.519999999999996,6.1,3.2,22.7,15.080000000000002,0.1052639096620575,0.2303841237253366,0.354166831776986,0.1597443799621953,31,50
WR,John Metchie III,Jalen Coker,116.3,126.1,10.169649826735766,10.169649826735762,-3.7249999999999996,-6.569999999999997,0.23565892662300858,-0.043749817665013006,10.294999999999996,1.825,5.55,10.910000000000004,17.48,0.7557527976979198,0.5200938710749112,0.0567615584660005,0.1005113761310135,28,19
WR,Jalen Nailor,Cooper Kupp,159.5,159.7,8.413288726154798,8.413288726154798,-2.0250000000000004,-7.999999999999993,0.15275519973071455,-0.09128352041898521,10.024999999999993,3.3,5.325,17.220000000000006,25.22,0.6092358939518134,0.4564806942210989,0.0856332738677188,0.176916794286704,25,38
WR,CeeDee Lamb,A.J. Brown,11.3,17.5,16.38947712721178,16.363657566574044,2.799999999999999,7.149999999999995,-0.1008260571671619,0.012070538056960456,9.949999999999994,14.35,11.55,34.63000000000001,27.480000000000015,0.0717196968487638,0.1725457540159257,0.2934637260200206,0.2813931879630601,44,43
WR,Calvin Ridley,Jayden Higgins,130.2,135.6,10.169649826735766,10.169649826735766,0.5499999999999998,9.159999999999998,-0.01602935555422552,0.1206012927938593,9.709999999999997,6.65,6.1000000000000005,24.22,15.06,0.3818293864169578,0.3978587419711833,0.2103470372405856,0.0897457444467263,39,12
WR,Rashod Bateman,Tank Dell,148.2,153.1,9.338003994797472,9.338003994797472,-2.4250000000000003,-7.069999999999997,0.2782270580187027,-0.10699157157996601,9.494999999999997,3.9,6.325,17.32,24.389999999999997,0.6194017782484702,0.3411747202297675,0.0819866311198937,0.1889782026998597,39,24
WR,John Metchie III,Ricky Pearsall,116.3,118.3,10.169649826735766,10.169649826735762,-1.1249999999999998,-8.229999999999997,0.333672437391419,-0.046747119665394,9.354999999999997,1.825,2.9499999999999997,10.910000000000004,19.14,0.7557527976979198,0.4220803603065008,0.0567615584660005,0.1035086781313945,28,18
