log_src,log_ffc_equiv,position
5.120625078137745,5.0250881690128475,RB
5.121460849185141,5.0250881690128475,RB
5.1253915313944445,5.0250881690128475,RB
5.126995095212451,5.0250881690128475,RB
2.9699015135194693,3.563882963939251,TE
3.166740070447672,3.7062280924485496,TE
3.8148510936758724,4.107589788972121,TE
3.8514233832992164,4.186619838331271,TE
4.1892000932347795,4.363098624788363,TE
4.195847647552622,4.436692009094582,TE
4.341334840010591,4.436692009094582,TE
4.585987366571318,4.689921554603864,TE
4.607766811835357,4.689921554603864,TE
4.622420539394619,4.689921554603864,TE
4.624678652376135,4.689921554603864,TE
4.723397567352741,4.9389908978382975,TE
4.814539303880461,4.9389908978382975,TE
4.867149761087499,4.9389908978382975,TE
4.8959723857761155,5.031091302663638,TE
4.915884957550445,5.052859786974432,TE
4.920126900574753,5.052859786974432,TE
4.961655111874538,5.0632277442154265,TE
5.101146096503746,5.064908482326134,TE
5.121580188047982,5.064908482326134,TE
5.121878472912238,5.064908482326134,TE
5.129129188144045,5.064908482326134,TE
5.129602813160299,5.1047326174753715,TE
1.332366019094335,1.0647107369924282,WR
1.5496879080283263,1.3609765531356006,WR
1.763017000362401,1.7749523509116738,WR
2.1198634561787513,1.9459101490553132,WR
2.359910159613315,2.424802725718295,WR
2.4973291697865574,2.4607437972487265,WR
2.937043277205311,2.4607437972487265,WR
3.1183922862898785,2.4607437972487265,WR
3.3028492586443794,2.8622008809294686,WR
3.323956301318708,3.0725218028091383,WR
3.3375473545856993,3.0725218028091383,WR
3.566994266123812,3.0725218028091383,WR
3.5920931854262443,3.349904087274605,WR
3.634159241913703,3.4246198546844777,WR
3.6750340472918834,3.4246198546844777,WR
3.720378121173307,3.4246198546844777,WR
3.74856245627511,3.4246198546844777,WR
3.7984062786411785,3.517497837358316,WR
3.8607297110405954,3.7184382563554808,WR
3.966511190712216,3.7287007679400346,WR
4.061476958596484,3.7287007679400346,WR
4.104129862956897,3.8197922830672133,WR
4.128423875874963,3.8197922830672133,WR
4.209160236650682,3.824284091120139,WR
4.243051882383293,4.039372281854483,WR
4.264649766520309,4.039372281854483,WR
4.28096243218686,4.039372281854483,WR
4.34756458111878,4.039372281854483,WR
4.452834524684393,4.091005660956586,WR
4.478472532942134,4.144682307894257,WR
4.512835574785296,4.144682307894257,WR
4.522331907679087,4.144682307894257,WR
4.577901758833898,4.144682307894257,WR
4.5830268213024015,4.144682307894257,WR
4.590259573252337,4.334080585796637,WR
4.624972813284271,4.334080585796637,WR
4.631227720307381,4.334080585796637,WR
4.665041583025482,4.418840607796598,WR
4.66617120754549,4.475061500641071,WR
4.674602960703428,4.585079703797006,WR
4.76234486036009,4.585079703797006,WR
4.76575725063604,4.585079703797006,WR
4.76779910943631,4.585079703797006,WR
4.769327772154375,4.585079703797006,WR
4.8158362157911885,4.585079703797006,WR
4.816888719632834,4.585079703797006,WR
4.914050969580866,4.585079703797006,WR
4.919542873692917,4.585079703797006,WR
4.920637644447809,4.585079703797006,WR
4.946416721769604,4.585079703797006,WR
4.947482479090987,4.585079703797006,WR
4.972794961113076,4.585079703797006,WR
4.994776878161797,4.585079703797006,WR
5.014892884348897,4.783638593701872,WR
5.025195445427586,4.783638593701872,WR
5.064112867874402,4.783638593701872,WR
5.070789216916003,4.873392309238584,WR
5.0775459993788825,4.873392309238584,WR
5.085062262984157,4.894850261102546,WR
5.115835796952717,4.955925738598646,WR
5.119190700650601,4.955925738598646,WR
5.120266676604728,4.9684234452869465,WR
5.1234281215713775,4.972607848189525,WR
5.12562925872232,4.972607848189525,WR
5.1286553387008365,5.073297055220967,WR
