pos,adp,m_old,m_deep,delta
WR,29.510430509012796,14.881502854988153,14.881502854988153,0.0
WR,29.817861805207723,14.881502854988153,14.881502854988153,0.0
WR,30.128495833462125,14.881502854988153,14.881502854988153,0.0
WR,30.442365958930324,14.881502854988153,14.881502854988153,0.0
WR,30.759505894355392,14.881502854988153,14.881502854988153,0.0
WR,31.07994970369017,14.881502854988153,14.881502854988153,0.0
WR,31.403731805756095,14.881502854988153,14.881502854988153,0.0
WR,31.730886977940145,14.881502854988153,14.881502854988153,0.0
WR,32.06145035993024,14.881502854988153,14.881502854988153,0.0
WR,32.395457457489606,14.881502854988153,14.881502854988153,0.0
WR,32.73294414627044,14.626785714285711,14.626785714285713,1.7763568394002505e-15
WR,33.073946675667315,14.626785714285711,14.626785714285713,1.7763568394002505e-15
WR,33.41850167271072,14.626785714285711,14.626785714285713,1.7763568394002505e-15
WR,33.766646146001136,14.543677700984531,14.543677700984533,1.7763568394002505e-15
WR,34.118417489684184,14.435036338113548,14.435036338113548,0.0
