player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta,E_total,nname,model_value,value,frame,demand,R,VORP,vorp_rank
3449,Terry McLaurin,WR,WAS,42.6,4.07,542,31,59,4.2,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",198.97083333333333,terry mclaurin,181.54713767878815,181.54713767878815,10,36,153.68615384615384,27.860983832634304,48
6190,Bucky Irving,RB,TB,42.8,4.07,360,31,53,4.3,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",157.07629629629628,bucky irving,153.35238595726972,153.35238595726972,10,24,138.03684210526316,15.315543852006556,58
6281,Ladd McConkey,WR,LAC,44.2,4.08,1164,32,65,4.5,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",198.97083333333333,ladd mcconkey,182.10493524641117,182.10493524641117,10,36,153.68615384615384,28.41878140025733,47
4862,D'Andre Swift,RB,CHI,44.4,4.08,322,33,55,4.4,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",157.07629629629628,dandre swift,153.35238595726972,153.35238595726972,10,24,138.03684210526316,15.315543852006556,58
5643,Jameson Williams,WR,DET,45.8,4.1,192,34,63,4.5,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",195.66583333333335,jameson williams,181.00930056459836,181.00930056459836,10,36,153.68615384615384,27.32314671844452,49
5178,Jaylen Waddle,WR,DEN,48.8,5.01,846,35,70,5.0,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",184.41333333333336,jaylen waddle,180.14293024710463,180.14293024710463,10,36,153.68615384615384,26.456776400950787,50
6187,Drake Maye,QB,NE,49.6,5.02,279,30,63,7.5,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",280.17823529411766,drake maye,,280.17823529411766,10,10,242.0530769230769,38.125158371040754,36
6194,Rome Odunze,WR,CHI,49.7,5.02,454,34,72,6.0,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",184.41333333333336,rome odunze,175.19859714924422,175.19859714924422,10,36,153.68615384615384,21.51244330309038,53
6531,Quinshon Judkins,RB,CLE,49.8,5.02,723,35,63,5.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",143.39020408163265,quinshon judkins,144.74466258122425,144.74466258122425,10,24,138.03684210526316,6.7078204759610855,62
6513,Bhayshul Tuten,RB,JAX,51.2,5.03,753,37,65,5.2,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",143.39020408163265,bhayshul tuten,144.74466258122425,144.74466258122425,10,24,138.03684210526316,6.7078204759610855,62
2876,DJ Moore,WR,BUF,51.3,5.03,817,36,70,5.9,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",184.41333333333336,dj moore,178.28792322190472,178.28792322190472,10,36,153.68615384615384,24.601769375750877,51
2888,Lamar Jackson,QB,BAL,52.8,5.05,426,31,69,8.1,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",280.17823529411766,lamar jackson,,280.17823529411766,10,10,242.0530769230769,38.125158371040754,36
6559,Luther Burden III,WR,CHI,53.4,5.05,630,36,73,6.6,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",166.60000000000002,luther burden,170.41721509324475,170.41721509324475,10,36,153.68615384615384,16.731061247090906,57
5641,Alec Pierce,WR,IND,55.5,5.07,191,39,69,6.2,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",164.34,alec pierce,159.70639589048284,159.70639589048284,10,36,153.68615384615384,6.020242044328995,65
6490,TreVeyon Henderson,RB,NE,55.7,5.08,510,40,71,5.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",143.39020408163265,treveyon henderson,144.74466258122425,144.74466258122425,10,24,138.03684210526316,6.7078204759610855,62
4882,Joe Burrow,QB,CIN,57.8,5.1,480,36,76,8.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",280.17823529411766,joe burrow,,280.17823529411766,10,10,242.0530769230769,38.125158371040754,36
2862,Courtland Sutton,WR,DEN,59.8,5.12,269,44,81,6.0,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",161.52315789473687,courtland sutton,173.1024935738498,173.1024935738498,10,36,153.68615384615384,19.41633972769597,56
2111,Mike Evans,WR,SF,60.0,5.12,1195,42,81,6.7,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",161.52315789473687,mike evans,176.2623750873933,176.2623750873933,10,36,153.68615384615384,22.576221241239466,52
6501,Colston Loveland,TE,CHI,60.8,6.01,827,35,85,9.9,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",149.89411764705883,colston loveland,,149.89411764705883,10,10,129.55128205128202,20.34283559577682,54
3435,Tony Pollard,RB,TEN,63.5,6.03,250,45,80,6.8,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",138.03684210526316,tony pollard,137.9838809278058,137.9838809278058,10,24,138.03684210526316,-0.052961177457348185,94
3238,David Montgomery,RB,HOU,63.6,6.04,1024,43,85,7.7,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",138.03684210526316,david montgomery,137.9838809278058,137.9838809278058,10,24,138.03684210526316,-0.052961177457348185,94
6193,Marvin Harrison Jr.,WR,ARI,63.9,6.04,533,49,84,6.6,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",161.52315789473687,marvin harrison,,161.52315789473687,10,36,153.68615384615384,7.837004048583026,60
6776,Jadarian Price,RB,SEA,64.5,6.05,925,45,84,7.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",138.03684210526316,jadarian price,137.9838809278058,137.9838809278058,10,24,138.03684210526316,-0.052961177457348185,94
3239,DK Metcalf,WR,PIT,65.1,6.05,435,46,83,7.2,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",161.52315789473687,dk metcalf,,161.52315789473687,10,36,153.68615384615384,7.837004048583026,60
6504,Tyler Warren,TE,IND,65.8,6.06,854,39,86,10.1,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",149.89411764705883,tyler warren,,149.89411764705883,10,10,129.55128205128202,20.34283559577682,54
5443,Jaylen Warren,RB,PIT,67.2,6.07,185,50,96,6.5,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",138.03684210526316,jaylen warren,137.9838809278058,137.9838809278058,10,24,138.03684210526316,-0.052961177457348185,94
2377,Dak Prescott,QB,DAL,67.3,6.07,340,46,91,8.1,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",280.17823529411766,dak prescott,,280.17823529411766,10,10,242.0530769230769,38.125158371040754,36
5360,Christian Watson,WR,GB,68.7,6.09,1325,47,89,8.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",153.68615384615384,christian watson,,153.68615384615384,10,36,153.68615384615384,0.0,76
5588,Wan'Dale Robinson,WR,TEN,70.9,6.11,329,52,90,7.0,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",153.68615384615384,wandale robinson,,153.68615384615384,10,36,153.68615384615384,0.0,76
5854,Jayden Daniels,QB,WAS,71.3,6.11,279,48,100,8.6,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",247.21365853658529,jayden daniels,,247.21365853658529,10,10,242.0530769230769,5.160581613508384,66
5095,Rico Dowdle,RB,PIT,71.3,6.11,230,50,96,8.4,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",138.03684210526316,rico dowdle,137.9838809278058,137.9838809278058,10,24,138.03684210526316,-0.052961177457348185,94
