pos,stat,kind,n_half,n_yoy,r_half,rho_full,r_yoy,yoy_lo,yoy_hi,admit,gate,window
TE,rec_pg,weekly,869,553,0.758233578437326,0.862494708025341,0.6182869140420059,0.5270738650414297,0.6876583612026709,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,rec_yards_pg,weekly,869,553,0.7013980414647377,0.8244961195099325,0.6614657936948402,0.5736761151843146,0.7257258741404227,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,target_share_full,weekly,869,553,0.812598696183961,0.8966118070091452,0.6449619309407114,0.572345206904379,0.7040710690638949,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,air_yards_share_full,weekly,869,553,0.7488673496996884,0.8564026880921325,0.6832693226270788,0.6102918659934924,0.7372916548523608,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,wopr_full,weekly,869,553,0.807610316927228,0.8935668372374546,0.6693473963291398,0.6010429550356108,0.7277939531458929,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,ppr_pg,weekly,869,553,0.7012116365731632,0.824367317385213,0.6290223613008454,0.544098334883316,0.6965208710817795,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,ypt,weekly,869,553,0.20072660718709312,0.3343418992893469,0.2835802075341642,0.16469361616065084,0.3847015328745977,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,ypr,weekly,869,553,0.3145261873480582,0.4785392491610796,0.3198064871836743,0.2068713469381765,0.4197597571410562,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,adot,weekly,869,553,0.5452237939512237,0.7056890996443381,0.5024485913916067,0.40274324520984756,0.5854406313939043,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,yac_per_rec,weekly,869,553,0.2558215851786844,0.40741708567190277,0.4284731180887154,0.32810432664489175,0.5130597125563618,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,td_per_tgt,weekly,869,553,0.1244657047806247,0.22137750266898015,0.1650831688650252,0.055370936850033636,0.26201482945086235,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,catch_rate,weekly,869,553,0.25510111843382427,0.40650289396945444,0.27126007404092356,0.1692683882686302,0.3582518353997564,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,racr_w,weekly,868,553,0.34508917381268156,0.5131097335866879,0.34956710556290754,0.23989231115198045,0.47065227281140354,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,rec_epa_per_tgt,weekly,869,553,0.12507806830063978,0.2223455808530023,0.20317907833162904,0.07899849746291665,0.3156682739746771,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,carries_pg,weekly,1481,934,0.8806498594807823,0.936537819670394,0.6753274495232028,0.6254926669663032,0.7175218904809201,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,touches_pg,weekly,1481,934,0.8815737791598814,0.9370600174429538,0.6436697844958127,0.5912593706455892,0.688937949224325,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,targets_pg,weekly,1481,934,0.8477203826519352,0.9175851396251277,0.6700744011907682,0.617127889860713,0.7159168871664853,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,rec_pg,weekly,1481,934,0.78017042470127,0.8765120618518198,0.6447982049936687,0.5834070846707075,0.6920973275709167,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,rush_yards_pg,weekly,1481,934,0.7932170782559795,0.8846860626906753,0.6390211224489379,0.588381399872297,0.6843129104151269,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,carry_share_full,weekly,1481,934,0.9159244396410219,0.9561174967971436,0.6606309817572276,0.6046502343961666,0.7064436152147703,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,target_share_full,weekly,1481,934,0.5985598715743776,0.748873886074561,0.2927820369334434,0.14963970948564292,0.6221359686672296,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,ppr_pg,weekly,1481,934,0.775407661200326,0.8734981583622149,0.6150022044626576,0.5663092326463158,0.6562682008449786,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,ypc,weekly,1481,934,0.23793504907586724,0.384406353553829,0.285015263340649,0.11934264464693607,0.452549239730937,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,rush_td_per_car,weekly,1481,934,0.2545398328460342,0.40578995769084214,0.1376776220715416,0.05150326199778868,0.22276715732584762,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,ypt,weekly,1481,934,0.8279179518049175,0.905858986709351,0.6219068253341884,0.5268453473483589,0.7052069335726733,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,catch_rate,weekly,1481,934,0.8841728138775171,0.9385262406561756,0.6416684037813603,0.5472938796901811,0.7335845389824432,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
RB,rec_epa_per_tgt,weekly,1481,934,0.5745648344025293,0.7298077816154819,0.5423432975438326,0.42333221389027065,0.632924903072296,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,snap_share,season,0,478,,,0.5401921005552134,0.455352984928828,0.6164799052188704,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,pass_snap_share,season,0,478,,,0.3574251289298187,0.2666688056169241,0.44684476719948074,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,routes_proxy_pg,season,0,478,,,0.4520334317356801,0.35702444494666963,0.5316178320428383,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,tprr_proxy,season,0,478,,,0.6412999122811195,0.5623994669135491,0.7026215922739714,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,yprr_proxy,season,0,478,,,0.541527926725498,0.4600862894166516,0.612245022699287,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,rz_targets_pg,season,0,478,,,0.4780064967494672,0.3501854476035691,0.5875218917831384,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,i10_targets_pg,season,0,478,,,0.34075432376294656,0.19561639003021225,0.4520917592650593,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,ez_targets_pg,season,0,478,,,0.44242209067037824,0.338462395796184,0.5313224908974188,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,third_down_targets_pg,season,0,478,,,0.5016014391387738,0.40945520911965644,0.5837956960301175,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,deep_targets_pg,season,0,478,,,0.5564046156424027,0.4897397578924913,0.6109784335908419,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,deep_target_rate,season,0,478,,,0.518022350864802,0.4270896885102188,0.5841168009450651,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,rz_target_share_of_own,season,0,478,,,0.23127827150625413,0.1289087958722923,0.323443241496046,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,ngs_avg_separation,season,0,431,,,0.5923853465126685,0.5065103305521249,0.664194102145136,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,ngs_avg_cushion,season,0,431,,,0.4541514273663917,0.3490971114215565,0.5424730893401231,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,ngs_avg_yac_above_expectation,season,0,431,,,0.3345624053539726,0.19513749907957834,0.4532846143362969,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,ngs_percent_share_of_intended_air_yards,season,0,431,,,0.5974880908723931,0.5223330201084206,0.655527172712157,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,pfr_adot,season,0,478,,,0.636827748252053,0.5544374789197697,0.7019014036565059,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,pfr_ybc_per_rec,season,0,478,,,0.5574961066114426,0.46682090899242784,0.6358519956993886,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,pfr_yac_per_rec,season,0,478,,,0.423837733908286,0.29485124480726255,0.5421799616011838,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,pfr_drop_pct,season,0,478,,,0.13503326479446878,0.04379661670583609,0.21874767645747584,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,pfr_rec_per_broken_tackle,season,0,352,,,0.2638281276275534,0.11611656976397679,0.38202593469259866,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
WR,target_epa,season,0,478,,,0.2275607772560622,0.13749351793439843,0.3092722132861436,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,snap_share,season,0,248,,,0.6700633109948858,0.5659097873954311,0.7469466884193867,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,pass_snap_share,season,0,248,,,0.44998836594867814,0.3152290899876454,0.5686509431986139,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,routes_proxy_pg,season,0,248,,,0.6012544754674322,0.4732671759322954,0.7084237970502961,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
