name,team,adp,position,vorp,rk,adp_rk,edge,vorp_new,vorp_rost,vorp_meta,sched,avail,floor_p25,bust_sched,yrs,usable,floor_gap,adj_0.0,adj_0.25,adj_0.5,adj_1.0,final,value_final,view
Brock Bowers,,40.7,TE,4.084982328450344,39,41,2,3.6594244261247617,5.006222098427762,5.024331232492998,36.0,0.806,6.15,0.3333333333333333,2.0,True,-0.875,5.024331232492998,4.805581232492998,4.586831232492998,4.149331232492998,4.936831232492998,12.894331232492998,
Kyren Williams,LAR,32.2,RB,3.874536557583209,40,33,-7,2.714200071595654,7.938613957705741,7.206324058711414,54.0,0.833,8.95,0.2037037037037037,4.0,True,2.8,7.206324058711414,7.906324058711414,8.606324058711413,10.006324058711414,7.486324058711414,13.416324058711414,0.0
Travis Etienne Jr.,NO,37.1,RB,3.874536557583209,41,39,-2,2.714200071595654,7.938613957705741,9.59326481174228,54.0,0.907,6.325,0.3148148148148148,5.0,True,0.1750000000000007,7.206324058711414,7.250074058711414,7.293824058711414,7.381324058711415,9.61076481174228,15.803264811742281,2.386940753030867
Breece Hall,NYJ,28.3,RB,3.874536557583209,42,29,-13,2.714200071595654,7.938613957705741,6.798162029355706,54.0,0.907,6.075,0.3148148148148148,4.0,True,-0.0749999999999992,7.206324058711414,7.187574058711414,7.168824058711414,7.131324058711415,6.790662029355706,13.008162029355706,-0.408162029355708
DJ Moore,BUF,51.3,WR,3.3919487594665547,43,53,10,3.5917228633108884,6.414811347812484,7.310784698375747,54.0,0.944,5.775,0.3148148148148148,17.0,True,1.1125000000000007,7.310784698375747,7.588909698375748,7.867034698375748,8.423284698375749,7.4220346983757475,13.690784698375747,0.48921530162425064
Mike Evans,SF,60.0,WR,3.316298842138057,44,60,16,3.5160729459823905,6.339161430483986,6.820134781047247,54.0,0.722,0.0,0.4259259259259259,34.0,True,-4.6625,7.2351347810472495,6.06950978104725,4.90388478104725,2.57263478104725,6.353884781047247,13.200134781047247,-0.00013478104725095363
Ladd McConkey,LAC,44.2,WR,3.180306313286838,45,45,0,3.380080417131172,6.203168901632767,7.809571126098015,36.0,0.889,4.5249999999999995,0.3333333333333333,2.0,True,-0.1375000000000001,7.099142252196031,7.064767252196031,7.03039225219603,6.961642252196031,7.795821126098015,14.189571126098015,0.710428873901984
Rome Odunze,CHI,49.7,WR,3.1727501670870293,46,50,4,3.372524270931363,6.1956127554329585,7.091586105996222,36.0,0.806,2.075,0.5833333333333334,2.0,True,-2.5874999999999995,7.091586105996222,6.444711105996222,5.797836105996222,4.5040861059962225,6.832836105996222,13.471586105996222,0.4884138940037772
Terry McLaurin,WAS,42.6,WR,3.138001864914486,47,43,-4,3.3377759687588195,6.160864453260415,7.0568378038236785,54.0,0.815,3.95,0.3333333333333333,7.0,True,-0.7124999999999995,7.0568378038236785,6.878712803823679,6.700587803823678,6.344337803823679,6.9855878038236785,13.436837803823678,1.7763568394002505e-15
Jameson Williams,DET,45.8,WR,3.099752172844264,48,47,-1,3.2995262766885975,6.122614761190193,7.0185881117534565,54.0,0.815,0.45,0.4629629629629629,4.0,True,-4.2124999999999995,7.0185881117534565,5.965463111753457,4.912338111753456,2.806088111753457,6.597338111753457,13.398588111753456,0.0
