gsis_id,name,pos,adp,adp_rank,age,expr,n_prior,G_last,avail_wtd,mu_hat,mu_cal,proj_ridge_P0,proj_ridge_P1,alpha
00-0036900,Ja'Marr Chase,WR,3.8,2.0,26.50239561943874,5,5,16.0,0.9430740037950663,20.23370018975332,17.47523782165046,17.591346212270462,17.878527882864823,177.82794100389228
00-0038543,Jaxon Smith-Njigba,WR,5.4,3.0,24.54483230663929,3,3,17.0,1.0,17.608403361344536,15.724549122973219,17.15066386149802,17.373652903601602,177.82794100389228
00-0036963,Amon-Ra St. Brown,WR,6.3,4.0,26.855578370978783,5,5,17.0,0.9867172675521821,18.842355313092977,16.547414451289665,17.610195790831053,17.75113485277432,177.82794100389228
00-0037238,Drake London,WR,9.9,5.0,25.10609171800137,4,4,12.0,0.835294117647059,15.531598039215686,14.339623971858995,14.774744344733655,14.850117420005938,177.82794100389228
00-0036358,CeeDee Lamb,WR,10.7,6.0,27.40041067761807,6,6,13.0,0.8487394957983193,17.12532078215902,15.402403755349953,15.833390052559604,15.781114406238036,177.82794100389228
00-0036322,Justin Jefferson,WR,11.6,7.0,27.211498973305954,6,6,17.0,0.9477124183006536,15.596991129785248,14.383231591154791,15.390423111956656,15.402329161416098,177.82794100389228
00-0039067,Rashee Rice,WR,14.6,8.0,26.360027378507873,3,3,8.0,0.47058823529411764,17.254464285714285,15.488523568445078,13.34507662259579,13.831002546374615,177.82794100389228
00-0035676,A.J. Brown,WR,18.1,9.0,29.17180013689254,7,7,15.0,0.8720472440944882,15.6849978855867,14.441919215015684,14.167699827848393,14.307709959858352,177.82794100389228
00-0037239,Chris Olave,WR,20.1,10.0,26.17932922655715,4,4,16.0,0.8117647058823529,14.298388888888889,13.51725398336095,14.036598957157587,14.087446675624086,177.82794100389228
00-0037247,George Pickens,WR,20.3,11.0,25.49486652977413,4,4,17.0,0.9529411764705882,14.579663865546218,13.704823220304398,14.680484490458838,14.650761473784891,177.82794100389228
00-0036554,Nico Collins,WR,21.0,12.0,27.45516769336071,5,5,15.0,0.8159392789373814,15.371336405529956,14.232752920978545,13.33236969913888,13.632680601627838,177.82794100389228
00-0039064,Zay Flowers,WR,25.6,13.0,25.971252566735114,3,3,17.0,0.9915966386554622,13.542016806722689,13.01286452083837,14.816163854030776,14.765587669263796,177.82794100389228
00-0037740,Garrett Wilson,WR,25.8,14.0,26.11088295687885,4,4,7.0,0.6862745098039215,14.05036414565826,13.35185778500826,13.004177155302056,13.055130061209049,177.82794100389228
00-0039337,Malik Nabers,WR,27.3,15.0,23.096509240246405,2,2,4.0,0.45098039215686275,15.59666666666667,14.383015221748982,13.804493021664312,13.771313046724272,177.82794100389228
00-0036912,DeVonta Smith,WR,29.6,16.0,27.797399041752225,5,5,17.0,0.9316888045540798,13.246547949204496,12.81583004303355,12.998426525164511,13.133082648297759,177.82794100389228
00-0040124,Tetairoa McMillan,WR,32.6,17.0,23.408624229979466,1,1,17.0,1.0,12.552941176470588,12.353295854437725,14.56050694878527,14.445236332423962,177.82794100389228
00-0040129,Emeka Egbuka,WR,35.0,18.0,23.88227241615332,1,1,17.0,1.0,11.511764705882353,11.658983553953105,14.402585852513978,14.000800458360441,177.82794100389228
00-0036410,Tee Higgins,WR,36.3,19.0,27.619438740588638,6,6,15.0,0.8103991596638656,15.026470143612999,14.00277760513625,12.480049304560907,12.801682673388731,177.82794100389228
00-0039915,Ladd McConkey,WR,37.7,20.0,24.804928131416837,2,2,16.0,0.9411764705882352,12.55625,12.355502355392655,12.941833226886535,13.053332695306418,177.82794100389228
00-0031381,Davante Adams,WR,41.9,21.0,33.686516084873375,12,12,14.0,0.8612583494936435,16.8072885756538,15.190322826550165,13.109900683277115,13.048406643845876,177.82794100389228
00-0037240,Jameson Williams,WR,44.2,22.0,25.43463381245722,4,4,17.0,0.8862745098039215,11.731267973856209,11.805360103227905,12.671629189161328,12.542374699081861,177.82794100389228
00-0036613,Jaylen Waddle,WR,45.9,23.0,27.76728268309377,5,5,16.0,0.9146110056925996,12.149391659889764,12.084187397675935,12.246188904514783,12.30028432496167,177.82794100389228
00-0035659,Terry McLaurin,WR,46.8,24.0,30.962354551676935,7,7,10.0,0.7905280222325152,12.817073380533317,12.529433371386467,11.195312345750697,11.19375879958461,177.82794100389228
