rank_model,name,team,adp,adp_rank,tier,n_seasons,n_games,mu_hat,n_eff,m_deep,tau2,B,theta_star,post_SD,arm,board_value,delta_rank_vs_adp,thin_data_flag,team_2025,g_2025,ppg_2025,targets,tgt_share_2025,ay_share_2025,snap_share_2025,rz_tgt_share_2025,i10_tgt_share_2025,rec_tds,team_vacated_share_2026
21,Ladd McConkey,LAC,44.2,22,vet,2,32,12.55625,1.8,13.894337842606388,10.782394134943546,0.6897097655400394,13.47914225219603,2.7270354839591304,theta_star,13.47914225219603,1,,LAC,16.0,11.30625,106.0,0.1948529411764706,0.2300923889133304,0.7807835820895522,0.19480519480519481,0.2,6.0,0.3033088235294117
22,Terry McLaurin,WAS,42.6,21,vet,7,107,12.817073380533317,2.953488372093023,13.894337842606388,10.782394134943546,0.5753131613547278,13.436837803823675,2.490633103599775,theta_star,13.436837803823675,-1,,WAS,10.0,11.42,60.0,0.1388888888888889,0.2098549274637318,0.6983870967741935,0.1702127659574468,0.13043478260869565,3.0,0.5231481481481481
23,Jameson Williams,DET,45.8,23,vet,4,43,12.649264069264069,2.6470588235294117,13.894337842606388,10.782394134943546,0.6018310388772187,13.398588111753455,2.5473867911679027,theta_star,13.398588111753455,0,,DET,17.0,12.93529411764706,102.0,0.1854545454545454,0.3453912111468382,0.902638762511374,0.1,0.09523809523809523,7.0,0.1454545454545454
24,Jaylen Waddle,DEN,48.8,24,vet,5,77,12.542768003975784,2.8181818181818183,13.894337842606388,10.782394134943546,0.5867285202276731,13.335772575379874,2.515221293506193,theta_star,13.335772575379874,0,,MIA,16.0,12.1325,100.0,0.2164502164502164,0.388459250446163,0.7805405405405406,0.1746031746031746,0.16666666666666666,6.0,0.0205479452054794
25,DJ Moore,BUF,51.3,26,vet,8,130,12.27039600153787,2.9766536964980546,13.894337842606388,10.782394134943546,0.5734031673209011,13.201569396751495,2.48649531434888,theta_star,13.201569396751495,1,,CHI,17.0,10.128235294117648,85.0,0.1597744360902255,0.1998381877022653,0.8483535528596187,0.16666666666666666,0.23076923076923078,6.0,0.1189979123173277
26,Mike Evans,SF,60.0,30,vet,12,175,13.662406955944771,2.9985355137905785,12.853924073475545,10.782394134943546,0.5716106102813692,13.200269562094498,2.4826056657812847,theta_star,13.200269562094498,4,,TB,8.0,10.6,62.0,0.1146025878003696,0.1829484902309058,0.6538461538461539,0.1267605633802817,0.21739130434782608,3.0,0.3090909090909091
27,Rome Odunze,CHI,49.7,25,vet,2,29,10.957843137254903,1.8,13.894337842606388,10.782394134943546,0.6897097655400394,12.983172211992443,2.7270354839591304,theta_star,12.983172211992443,-2,,CHI,12.0,12.175,90.0,0.169172932330827,0.2532362459546926,0.879951980792317,0.18181818181818182,0.19230769230769232,6.0,0.3026315789473684
28,Courtland Sutton,DEN,59.8,29,vet,8,112,13.1324141950898,2.9766536964980546,12.853924073475545,10.782394134943546,0.5734031673209011,12.972727077288603,2.48649531434888,theta_star,12.972727077288603,1,,DEN,17.0,12.923529411764704,124.0,0.2123287671232876,0.3435828877005347,0.8552631578947368,0.2235294117647059,0.20588235294117646,7.0,0.0205479452054794
29,Christian Watson,GB,68.7,33,vet,4,42,11.954043771043773,2.6470588235294117,12.853924073475545,10.782394134943546,0.6018310388772187,12.495619668321432,2.5473867911679027,m_deep (market),12.853924073475545,4,,GB,10.0,13.24,55.0,0.1195652173913043,0.2281111370534672,0.6752827140549273,0.08955223880597014,0.16,6.0,0.4021739130434782
30,DK Metcalf,PIT,65.1,32,vet,7,111,12.933944341516133,2.953488372093023,12.853924073475545,10.782394134943546,0.5753131613547278,12.887907628137249,2.490633103599775,m_deep (market),12.853924073475545,2,,PIT,15.0,12.48,99.0,0.1896551724137931,0.3182926829268293,0.8719101123595505,0.17567567567567569,0.20588235294117646,6.0,0.4789272030651341
31,Marvin Harrison Jr.,ARI,63.9,31,vet,2,28,11.598395721925135,1.8,12.853924073475545,10.782394134943546,0.6897097655400394,12.464345886901839,2.7270354839591304,m_deep (market),12.853924073475545,0,,ARI,12.0,10.65,73.0,0.1183144246353322,0.2030042918454935,0.7173637515842839,0.09900990099009901,0.14705882352941177,4.0,0.2593192868719611
32,Wan'Dale Robinson,TEN,70.9,34,vet,4,52,12.04959663865546,2.6470588235294117,12.739458663273002,10.782394134943546,0.6018310388772187,12.464777017612978,2.5473867911679027,m_deep (market),12.739458663273002,2,,NYG,16.0,13.61875,140.0,0.2783300198807157,0.265369997764364,0.9051162790697674,0.20634920634920634,0.2,4.0,0.3094339622641509
33,Michael Pittman Jr.,PIT,72.2,35,vet,6,94,12.114161220043574,2.9076923076923076,12.739458663273002,10.782394134943546,0.579126763028035,12.476287704270739,2.4988743491945176,m_deep (market),12.739458663273002,2,,IND,17.0,11.905882352941177,111.0,0.2094339622641509,0.2070776255707762,0.8563432835820896,0.17857142857142858,0.2222222222222222,7.0,0.4789272030651341
34,Luther Burden III,CHI,53.4,27,soph,1,13,9.715384615384615,1.0,13.173062271062271,9.389576648040723,0.8088492921551105,12.512124739680027,2.7558578383878753,theta_star,12.512124739680027,-7,single season: n_eff = 1,CHI,15.0,8.526666666666667,60.0,0.112781954887218,0.093042071197411,0.398019801980198,0.06060606060606061,0.0,2.0,0.3026315789473684
35,Parker Washington,JAX,75.4,36,vet,3,29,10.881190476190474,2.3333333333333335,12.43820922971078,10.782394134943546,0.6316382999991158,11.864663154730781,2.6097074742806288,m_deep (market),12.43820922971078,1,,JAX,16.0,11.54375,95.0,0.1736745886654479,0.2432377049180328,0.6187845303867403,0.16279069767441862,0.1111111111111111,5.0,0.3235831809872029
36,Jakobi Meyers,JAX,76.1,37,vet,7,97,12.445239356444082,2.953488372093023,12.43820922971078,10.782394134943546,0.5753131613547278,12.441194832008422,2.490633103599775,m_deep (market),12.43820922971078,1,,JAX,16.0,10.9875,110.0,0.2010968921389396,0.2065573770491803,0.8482490272373541,0.1744186046511628,0.16666666666666666,3.0,0.3235831809872029
37,Carnell Tate,TEN,76.4,38,rookie,0,0,,0.0,12.43820922971078,11.422710913543565,1.0,12.43820922971078,3.3797501259033287,m_deep (market),12.43820922971078,1,no NFL rows: full shrinkage to market,,,,,,,,,,,0.3094339622641509
