fold,age,f_hat,lo_clamp,hi_clamp
2017,23.2,0.4537,21.0705,35.7892
2017,23.3,0.5695,21.0705,35.7892
2017,23.4,0.6826,21.0705,35.7892
2017,23.5,0.7927,21.0705,35.7892
2017,23.6,0.8999,21.0705,35.7892
2017,23.7,1.0039,21.0705,35.7892
2017,23.8,1.1048,21.0705,35.7892
2017,23.9,1.2023,21.0705,35.7892
2017,24.0,1.2963,21.0705,35.7892
2017,24.1,1.3868,21.0705,35.7892
2017,24.2,1.4736,21.0705,35.7892
2017,24.3,1.5565,21.0705,35.7892
2017,24.4,1.6356,21.0705,35.7892
2017,24.5,1.7106,21.0705,35.7892
2017,24.6,1.7818,21.0705,35.7892
2017,24.7,1.8491,21.0705,35.7892
2017,24.8,1.9126,21.0705,35.7892
2017,24.9,1.9725,21.0705,35.7892
2017,25.0,2.0288,21.0705,35.7892
2017,25.1,2.0817,21.0705,35.7892
2017,25.2,2.1312,21.0705,35.7892
2017,25.3,2.1774,21.0705,35.7892
2017,25.4,2.2204,21.0705,35.7892
2017,25.5,2.2603,21.0705,35.7892
2017,25.6,2.2972,21.0705,35.7892
2017,25.7,2.3312,21.0705,35.7892
2017,25.8,2.3623,21.0705,35.7892
2017,25.9,2.3908,21.0705,35.7892
2017,26.0,2.4166,21.0705,35.7892
2017,26.1,2.4399,21.0705,35.7892
2017,26.2,2.4607,21.0705,35.7892
2017,26.3,2.4792,21.0705,35.7892
2017,26.4,2.4954,21.0705,35.7892
2017,26.5,2.5094,21.0705,35.7892
2017,26.6,2.5214,21.0705,35.7892
2017,26.7,2.5314,21.0705,35.7892
2017,26.8,2.5395,21.0705,35.7892
2017,26.9,2.5457,21.0705,35.7892
2017,27.0,2.5503,21.0705,35.7892
2017,27.1,2.5533,21.0705,35.7892
2017,27.2,2.5547,21.0705,35.7892
2017,27.3,2.5548,21.0705,35.7892
2017,27.4,2.5535,21.0705,35.7892
2017,27.5,2.5509,21.0705,35.7892
2017,27.6,2.5472,21.0705,35.7892
2017,27.7,2.5423,21.0705,35.7892
2017,27.8,2.5362,21.0705,35.7892
2017,27.9,2.529,21.0705,35.7892
2017,28.0,2.5207,21.0705,35.7892
2017,28.1,2.5113,21.0705,35.7892
2017,28.2,2.5007,21.0705,35.7892
2017,28.3,2.4891,21.0705,35.7892
2017,28.4,2.4764,21.0705,35.7892
2017,28.5,2.4626,21.0705,35.7892
2017,28.6,2.4478,21.0705,35.7892
2017,28.7,2.4319,21.0705,35.7892
2017,28.8,2.415,21.0705,35.7892
2017,28.9,2.397,21.0705,35.7892
2017,29.0,2.3781,21.0705,35.7892
2017,29.1,2.3581,21.0705,35.7892
2017,29.2,2.3372,21.0705,35.7892
2017,29.3,2.3153,21.0705,35.7892
