year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,m_hat,tau2,sig2,mu_hat,n_eff,share,th_inc,th_lam50,th_lam25,th_lam00
2017,Antonio Brown,00-0027793,3.7,1,2010,7,14,22.164285714285715,vet,True,19.28815286897644,18.700576563958915,3.4637091503267996,2.876132845309275,19.417210368090107,11.263559536617558,43.459600014646625,22.14684523809524,2.3333333333333335,0.8888888888888888,20.44585968850234,20.409486635969706,20.390710467566002,20.371524025563538
2017,Julio Jones,00-0027944,5.7,2,2011,6,16,15.74375,vet,True,18.314873584145303,18.25394794129773,-2.510197941297733,-2.5711235841453046,18.972626630006502,11.263559536617558,43.459600014646625,20.0316156462585,2.3333333333333335,1.0,19.371701372149428,19.371701372149428,19.371701372149428,19.371701372149428
2017,Odell Beckham Jr.,00-0031235,6.4,3,2014,3,4,18.5,vet,True,18.053989518564833,18.25394794129773,0.2460520587022685,0.4460104814351666,18.140249333408168,11.263559536617558,43.459600014646625,20.210476190476193,2.3333333333333335,1.0,18.92040402480034,18.92040402480034,18.92040402480034,18.92040402480034
2017,Mike Evans,00-0031408,7.9,4,2014,3,15,13.54,vet,True,17.579741637844833,18.00710576923077,-4.46710576923077,-4.039741637844834,18.140249333408168,11.263559536617558,43.459600014646625,17.24452380952381,2.3333333333333335,0.8256880733944955,17.802699626103248,17.821655094047646,17.831623958447096,17.84194326305164
2017,A.J. Green,00-0027942,10.0,5,2011,6,16,14.175,vet,True,17.048832228903077,18.00710576923077,-3.832105769230768,-2.873832228903076,18.140249333408168,11.263559536617558,43.459600014646625,19.166468253968254,2.3333333333333335,0.9,18.526974828025814,18.514693932507516,18.508374887189113,18.501932114216103
2017,Jordy Nelson,00-0026176,11.4,6,2008,9,14,9.8,vet,True,16.753721721936067,16.94065359477124,-7.140653594771242,-6.953721721936068,18.140249333408168,11.263559536617558,43.459600014646625,19.33375,1.4705882352941178,1.0,18.469606374300668,18.469606374300668,18.469606374300668,18.469606374300668
2017,Michael Thomas,00-0032765,13.3,7,2016,1,16,16.15625,soph,True,16.40653337922545,16.281429738562093,-0.1251797385620925,-0.2502833792254506,16.675883239518665,8.922108455701462,40.05902290190149,17.046666666666667,1.0,1.0,16.743422919777146,16.743422919777146,16.743422919777146,16.743422919777146
2017,Brandin Cooks,00-0031236,17.1,8,2014,3,16,13.825,vet,True,15.840506424612665,16.174372178623514,-2.349372178623515,-2.0155064246126653,16.675883239518665,11.263559536617558,43.459600014646625,15.901428571428571,2.3333333333333335,0.0,16.384033850878836,16.496079466553336,16.574174594798656,16.675883239518665
2017,Dez Bryant,00-0027902,20.5,9,2010,7,16,11.65,vet,True,15.432066033678552,15.309814510824571,-3.6598145108245728,-3.782066033678552,16.05730458567846,11.263559536617558,43.459600014646625,14.221428571428572,2.3333333333333335,0.5853658536585366,15.365463843471165,15.462417880008587,15.517330032033435,15.5773267511513
2017,Amari Cooper,00-0031544,21.3,10,2015,2,12,12.541666666666666,vet,True,15.345844364556989,15.309814510824571,-2.768147844157907,-2.8041776978903226,16.05730458567846,11.263559536617558,43.459600014646625,14.110416666666666,1.8,0.9375,15.437980615280434,15.451310343777523,15.458076094799274,15.464910468006337
