year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,mu_hat,n_eff,sig2,th_iso,m_cir,th_cir,th_ols,m_half,th_half
2017,Stefon Diggs,00-0031588,54.8,26,2015,2,14,14.157142857142857,vet,True,13.49785490709328,12.824974788836828,1.465238095238094,0.9396518940758068,13.741025641025642,1.8,43.459600014646625,13.116379468748775,13.401228534244249,13.513384161655406,13.57852096949514,13.113101661540538,13.316362596729405
2017,Jamison Crowder,00-0031941,61.2,28,2015,2,14,11.857142857142858,vet,True,13.240971960939195,12.824974788836828,-0.6393827585070877,-1.1115695648646202,11.809722222222222,1.8,43.459600014646625,12.502013079345254,12.78004804561455,12.45977603816092,12.766189165867727,12.802511417225688,12.481142482745309
2017,Jarvis Landry,00-0031382,64.0,29,2014,3,16,16.25,vet,True,13.136932482496906,12.824974788836828,3.753474384350054,3.382044712893748,15.053095238095239,2.3333333333333335,43.459600014646625,13.66463089490128,12.457369638030992,13.469047456127576,13.88717127499736,12.64117221343391,13.564676426570287
2017,Brandon Marshall,00-0024334,65.2,30,2006,11,5,6.68,vet,True,13.0937305410491,12.824974788836828,-5.816525615649946,-6.146116324554493,13.96051282051282,2.3333333333333335,43.459600014646625,13.252896646599273,12.323378831083327,12.961447871322708,13.433103430333023,12.574176809960077,13.104992732971514
2018,Antonio Brown,00-0027793,4.7,1,2010,8,15,21.58,vet,True,18.22030407905777,19.003593109120278,2.8794234360410833,2.8306560377829584,22.156146825396824,2.6470588235294117,43.25989353664156,20.285496452840356,18.683175808878705,20.152288435137855,19.885525088355877,18.84338445899949,20.215601238900376
2018,DeAndre Hopkins,00-0030564,8.8,2,2013,5,16,20.84375,vet,True,16.972477144611226,17.493409279652294,2.836644230769231,3.5070030084285904,18.026777777777777,2.6470588235294117,43.25989353664156,17.710289600406846,17.52865717921142,17.739368773772114,17.418542619685976,17.51103322943186,17.72466561386163
2018,Odell Beckham Jr.,00-0031235,11.2,3,2014,4,12,19.361666666666668,vet,True,16.492672160825762,16.47708888414118,1.3545608974358991,2.5680807881358554,19.298222222222225,2.6470588235294117,43.25989353664156,17.62422881723567,16.791101980389573,17.851646967752853,17.67967611549863,16.634095432265376,17.73763353147952
2018,Julio Jones,00-0027944,14.2,4,2011,7,16,20.36875,vet,True,16.020494870229317,15.478757407905862,4.087320261437906,4.109690338119606,17.744753968253967,2.6470588235294117,43.25989353664156,16.40016551986636,15.808061283322177,16.627307877401027,16.750013974663755,15.64340934561402,16.51383107606759
2018,Michael Thomas,00-0032765,16.0,5,2016,2,16,19.71875,vet,True,15.783048026946583,15.478757407905862,3.544377821376486,3.7284909884752793,16.453055555555554,1.8,43.25989353664156,15.788452295221287,15.402550573787952,15.75203494734517,16.00599526590414,15.440653990846908,15.76939215210172
2018,Keenan Allen,00-0030279,17.2,6,2013,5,15,17.34,vet,True,15.639162150724712,15.478757407905862,1.1656278213764857,1.5126263592417466,16.122619047619047,2.6470588235294117,43.25989353664156,15.740566868781997,15.264232683105813,15.627341456636373,15.843708580468975,15.371495045505839,15.682626616529738
2018,Davante Adams,00-0031381,18.2,7,2014,4,15,21.973333333333336,vet,True,15.52672804526478,15.478757407905862,5.798961154709822,6.273240225143802,14.14734432234432,2.6470588235294117,43.25989353664156,14.937373171551018,15.156149466626873,14.729411561861248,14.943122727845141,15.317453437266368,14.832769302328803
2018,A.J. Green,00-0027942,21.3,8,2011,7,8,18.4625,vet,True,15.213800060153428,14.696721534563963,3.1526854891754255,3.11665563544301,16.504351851851855,2.6470588235294117,43.25989353664156,15.431747027064677,14.855330929237766,15.552888567022686,15.759821356131903,14.776026231900865,15.491935540967464
2018,Tyreek Hill,00-0033040,23.7,9,2016,2,16,20.875,vet,True,15.00137938588113,14.696721534563963,5.695594519859226,5.769625521687807,15.612063492063493,1.8,43.25989353664156,14.987676336301739,14.680124663241768,14.990164180842513,15.204586558241251,14.688423098902867,14.988339510624018
2018,Mike Evans,00-0031408,25.5,10,2014,4,16,17.775,vet,True,14.855737245720139,14.696721534563963,2.5955945198592243,2.8344990632907603,15.268777777777778,2.6470588235294117,43.25989353664156,14.929333212894967,14.629157252372686,14.899725185539378,15.030491120811773,14.662939393468324,14.913890565001212
2018,Stefon Diggs,00-0031588,26.0,11,2015,3,15,17.753333333333334,vet,True,14.817103911385603,14.696721534563963,2.5739278531925596,2.8565670921498914,13.978806907378337,2.3333333333333335,43.25989353664156,14.426369504980228,14.615637531898278,14.365643791897707,14.487958691065074,14.656179533231121,14.396082627923201
2018,T.Y. Hilton,00-0029608,27.4,12,2012,6,14,17.071428571428573,vet,True,14.712758805866642,14.522558036770484,2.1830688014850903,2.292785746152287,13.327222222222222,2.6470588235294117,43.25989353664156,14.036506056235933,14.579122002400538,14.04955185478816,14.126550266315135,14.550840019585511,14.043991447904446
