pos,arm,n,rmse_mu,rmse_arm,d_rmse,label,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,spearman,spearman_mu,gain_vs_mucal,p_vs_mucal,rmse_theta_mu,rmse_theta_arm,eq7_gain,eq7_p,eq7_mde,bh_reject_12,bh_reject_6
RB,mu_cal (control),489,4.490909578515818,4.170787806571864,-0.3201217719439535,tier A | UNGATED (sens) | clean env | PPG,2.761311262200213,4.513264791472719,0.0014608457986447785,1.9245210460258395,9,10,1.4348043986852501,0.49473399193971657,0.49473399193971657,,,,,,,,False,
RB,ridge_P0,489,4.490909578515818,4.109438014663728,-0.3814715638520898,tier A | UNGATED (sens) | clean env | PPG,3.247023108296015,4.406016670849167,0.0017054190842548315,2.3181277084847953,9,10,1.400709329521097,0.516761714911211,0.49473399193971657,0.48571184609580154,0.47279250803577244,3.7842142879145224,3.707678248778648,0.5672969910963503,0.014306610718361533,0.5894373133434415,False,
RB,ridge_P1,489,4.490909578515818,4.061465500876534,-0.4294440776392836,tier A | UNGATED (sens) | clean env | PPG,3.6334694222271366,5.549180975731221,0.0003568053206645047,2.0596372403661216,10,10,1.7641307658533356,0.524296944694466,0.49473399193971657,0.8721581600269237,0.17965608496704796,3.7842142879145224,3.6998509664725168,0.6239919829209728,0.005972960853518256,0.5489649338563568,False,
RB,gbt_P0,489,4.490909578515818,4.275931678517187,-0.21497789999863048,tier A | UNGATED (sens) | clean env | PPG,1.8590266751650166,1.8536440044952556,0.09678801766786492,3.154695203113077,6,10,0.5892888394829761,0.45196067534659096,0.49473399193971657,-0.9022845870351967,0.40755168724575075,3.7842142879145224,3.7359335094278885,0.35483504702287905,0.26966032286503705,0.9488913931958521,False,
RB,gbt_P1,489,4.490909578515818,4.2328216357003985,-0.25808794281541925,tier A | UNGATED (sens) | clean env | PPG,2.1958376962507455,1.9121009530275672,0.08816463106820588,3.612330958892606,7,10,0.607872789409058,0.44827632086303043,0.49473399193971657,-0.5654735659494678,0.6436126082848512,3.7842142879145224,3.7325240650587013,0.37252161052574806,0.31562599181090506,1.1027161946229609,False,
RB,hier_P0,489,4.490909578515818,4.149567580464882,-0.341341998050936,tier A | UNGATED (sens) | clean env | PPG,2.9199687470041273,4.405054797389983,0.0017078012450563922,2.0850909466670324,9,10,1.400403541951792,0.5032303188863259,0.49473399193971657,0.1586574848039141,0.7969751865845969,3.7842142879145224,3.723058468948417,0.45390279398211775,0.022314819777041042,0.5183588414003634,False,
RB,hier_P1,489,4.490909578515818,4.039888914050951,-0.4510206644648669,tier A | UNGATED (sens) | clean env | PPG,3.806772575455007,5.874815508877793,0.00023634537170939165,2.038265783313319,10,10,1.8676526911357347,0.5219702342785386,0.49473399193971657,1.0454613132547934,0.1394872012923183,3.7842142879145224,3.700790636722139,0.6163470088482906,0.005977892900874687,0.542319214537579,False,
WR,mu_cal (control),568,3.776007070631069,3.605936575031075,-0.17007049559999388,tier A | gated | LEAKY env (quantifies the leak),1.2866122351874267,2.3173826627045857,0.04568112164542336,1.7464173540527017,8,10,0.7367152142652155,0.542041250309014,0.542041250309014,,,,,,,,False,
WR,ridge_P0,568,3.776007070631069,3.515941035622908,-0.26006603500816095,tier A | gated | LEAKY env (quantifies the leak),1.911197431738837,2.565445197538132,0.03041421240471825,2.3433703255187748,8,10,0.8155763563813742,0.5721008188164031,0.542041250309014,0.6245851965514102,0.1231109518904883,3.403603515941307,3.3770944870598485,0.17164651745500015,0.5009268216908526,0.7700412840112288,False,
WR,ridge_P1,568,3.776007070631069,3.4869656138031866,-0.2890414568278823,tier A | gated | LEAKY env (quantifies the leak),2.112418065428053,3.127315727779812,0.012174239434379215,2.124742273667507,9,10,0.9941996691117831,0.5904341816388087,0.542041250309014,0.8258058302406264,0.06234305205741048,3.403603515941307,3.371793515727745,0.20861107051784905,0.38576100748577946,0.719856536733886,False,
WR,gbt_P0,568,3.776007070631069,3.6660260841851398,-0.10998098644592913,tier A | gated | LEAKY env (quantifies the leak),0.8432728346640512,1.373357246633074,0.2028813258341759,1.9314465821538962,6,10,0.43660168624682155,0.536530092980092,0.542041250309014,-0.44333940052337556,0.32273904756895955,3.403603515941307,3.4049408890001245,-0.013693816543240223,0.9520830619793892,0.6971519577719781,False,
WR,gbt_P1,568,3.776007070631069,3.6780415330181015,-0.09796553761296733,tier A | gated | LEAKY env (quantifies the leak),0.7419356232932628,1.2855914276994957,0.23067778025400434,1.8153541845259153,6,10,0.40870020275796554,0.5448936139219661,0.542041250309014,-0.5446766118941639,0.3212948999062312,3.403603515941307,3.410467421332304,-0.05587397108020213,0.7928327219578181,0.6495998966922061,False,
WR,hier_P0,568,3.776007070631069,3.503445314011774,-0.2725617566192948,tier A | gated | LEAKY env (quantifies the leak),2.000742357069486,2.6040247354628114,0.028549154488117023,2.4168192754986597,8,10,0.8278411122224583,0.5762025368524698,0.542041250309014,0.7141301218820595,0.09975702797438914,3.403603515941307,3.3721668627750465,0.20426099826360883,0.4503712843793335,0.8142961192822118,False,
WR,hier_P1,568,3.776007070631069,3.4625390559118134,-0.31346801471925545,tier A | gated | LEAKY env (quantifies the leak),2.28490029194332,3.5420572087200464,0.006293768423358054,2.0291296484518093,9,10,1.1260494338972669,0.6011754401790214,0.542041250309014,0.9982880567558936,0.02538508358195902,3.403603515941307,3.3670457758181573,0.2411390345521845,0.3255381557974123,0.7294500764219396,False,
RB,mu_cal (control),489,4.490909578515818,4.170787806571864,-0.3201217719439535,tier A | gated | LEAKY env (quantifies the leak),2.761311262200213,4.513264791472719,0.0014608457986447785,1.9245210460258395,9,10,1.4348043986852501,0.49473399193971657,0.49473399193971657,,,,,,,,False,
