team,season,lead,lead_name,n_pres,n_abs,inj_frac,bk_ante,bk_post,same_backup,bk_ante_name,bk_post_name,car_den,car_ante,car_post,car_rest,car_leak,tgt_den,tgt_ante,tgt_post,tgt_rest,tgt_leak,gl10_den,gl10_ante,gl10_post,gl10_rest,gl10_leak,ppg_bk_in,ppg_bk_out,g_bk_out,ppg_lead_in
KC,2023,00-0037197,Isiah Pacheco,14,3,0.6666666666666666,00-0036360,00-0036360,1,Clyde Edwards-Helaire,Clyde Edwards-Helaire,14.642857142857142,0.38211382113821135,0.38211382113821135,0.5918699186991869,-0.02601626016260178,3.5,0.7074829931972789,0.7074829931972789,0.40136054421768697,0.10884353741496611,1.5,0.031746031746031744,0.031746031746031744,0.6666666666666666,-0.30158730158730157,3.527272727272727,10.3,3,15.278571428571428
KC,2024,00-0033923,Kareem Hunt,13,4,0.25,00-0037197,00-0037197,1,Isiah Pacheco,Isiah Pacheco,15.384615384615385,0.3075,0.3075,0.49124999999999996,-0.20125000000000004,2.4615384615384617,0.5625,0.5625,0.08593750000000006,-0.35156249999999983,1.8461538461538463,0.5,0.5,0.59375,0.0937499999999999,5.0,15.950000000000001,2,11.953846153846154
LA,2015,00-0032241,Todd Gurley,13,3,0.6666666666666666,00-0031391,00-0031391,1,Tre Mason,Tre Mason,17.615384615384617,0.25473071324599705,0.25473071324599705,0.4410480349344978,-0.304221251819505,2.0,0.21794871794871795,0.21794871794871795,2.102564102564102,1.3205128205128203,,,,,,3.2818181818181817,7.7,2,16.03076923076923
LA,2018,00-0032241,Todd Gurley,14,2,1.0,00-0031806,00-0029854,0,Malcolm Brown,C.J. Anderson,18.285714285714285,-0.1640625,1.17578125,1.8515625,0.6875000000000001,5.785714285714286,-0.0617283950617284,0.5185185185185185,0.7777777777777778,-0.28395061728395055,2.857142857142857,-0.075,1.05,1.2249999999999999,0.14999999999999994,3.985714285714285,,0,26.578571428571422
LA,2020,00-0036414,Cam Akers,11,5,0.6,00-0035664,00-0035664,1,Darrell Henderson,Darrell Henderson,13.181818181818182,0.5710344827586208,0.5710344827586208,0.07586206896551724,-0.35310344827586193,1.2727272727272727,-0.34285714285714297,-0.34285714285714297,1.3714285714285717,0.028571428571429105,1.9090909090909092,0.8285714285714284,0.8285714285714284,0.14285714285714285,-0.028571428571428636,8.16,9.74,5,9.254545454545454
LA,2022,00-0036414,Cam Akers,15,2,1.0,00-0035664,00-0035664,1,Darrell Henderson,Darrell Henderson,12.533333333333333,0.35106382978723405,0.35106382978723405,0.625,-0.023936170212766013,1.2,1.138888888888889,1.138888888888889,1.6111111111111112,1.7499999999999998,0.9333333333333333,0.7142857142857143,0.7142857142857143,1.6071428571428572,1.3214285714285714,6.9125,9.1,2,9.42
LA,2023,00-0037840,Kyren Williams,12,5,0.4,00-0034838,00-0034838,1,Royce Freeman,Royce Freeman,19.0,0.47192982456140353,0.47192982456140353,0.41491228070175434,-0.11315789473684203,4.0,0.1,0.1,0.6375,-0.26250000000000007,2.75,0.44848484848484843,0.44848484848484843,0.30303030303030304,-0.24848484848484856,5.3999999999999995,6.0,5,21.25
LAC,2015,00-0032144,Melvin Gordon,14,2,0.0,00-0026019,00-0027003,0,Danny Woodhead,Donald Brown,13.142857142857142,0.1630434782608696,1.2010869565217392,1.0380434782608696,0.20108695652173936,2.642857142857143,1.4594594594594594,1.1621621621621623,0.7567567567567568,1.216216216216216,,,,,,15.007142857142856,16.5,2,7.735714285714286
LAC,2016,00-0032144,Melvin Gordon,13,3,1.0,00-0032902,00-0032902,1,Kenneth Farrow,Kenneth Farrow,19.53846153846154,0.2716535433070866,0.2716535433070866,0.6246719160104987,-0.10367454068241469,4.384615384615385,0.3742690058479532,0.3742690058479532,0.6198830409356724,-0.005847953216374248,,,,,,3.2142857142857144,7.5,2,19.27692307692308
LAC,2018,00-0032144,Melvin Gordon,12,4,0.5,00-0033699,00-0033699,1,Austin Ekeler,Austin Ekeler,14.583333333333334,0.30857142857142855,0.30857142857142855,0.5485714285714286,-0.14285714285714302,5.5,0.4090909090909091,0.4090909090909091,0.2878787878787879,-0.3030303030303029,0.9166666666666666,-0.18181818181818185,-0.18181818181818185,0.5454545454545455,-0.6363636363636364,11.845454545454546,12.833333333333334,3,22.958333333333332
LAC,2019,00-0032144,Melvin Gordon,12,4,0.0,00-0033699,00-0033699,1,Austin Ekeler,Austin Ekeler,13.5,0.5679012345679012,0.5679012345679012,0.45679012345679015,0.024691358024691534,4.583333333333333,-0.14545454545454553,-0.14545454545454553,0.49090909090909096,-0.6545454545454545,1.6666666666666667,0.85,0.85,0.15,0.0,16.833333333333336,26.75,4,15.066666666666665
LAC,2020,00-0033699,Austin Ekeler,10,6,0.0,00-0036370,00-0036370,1,Joshua Kelley,Joshua Kelley,11.6,0.192528735632184,0.192528735632184,0.8879310344827587,0.08045977011494286,6.5,0.22051282051282056,0.22051282051282056,0.8666666666666667,0.08717948717948741,1.0,-0.2333333333333334,-0.2333333333333334,0.5666666666666668,-0.6666666666666665,6.7714285714285705,5.633333333333334,6,16.53
LAC,2023,00-0033699,Austin Ekeler,14,3,1.0,00-0036370,00-0036370,1,Joshua Kelley,Joshua Kelley,12.785714285714286,0.7057728119180632,0.7057728119180632,0.13035381750465552,-0.16387337057728144,5.285714285714286,-0.00900900900900902,-0.00900900900900902,0.19819819819819817,-0.8108108108108109,1.7142857142857142,0.8888888888888891,0.8888888888888891,0.15277777777777776,0.04166666666666678,3.7538461538461543,4.366666666666666,3,13.242857142857144
LAC,2024,00-0036158,J.K. Dobbins,13,4,0.25,00-0034184,00-0034184,1,Gus Edwards,Gus Edwards,15.0,0.31025641025641026,0.31025641025641026,0.056410256410256446,-0.6333333333333333,2.923076923076923,0.20394736842105263,0.20394736842105263,0.35526315789473684,-0.4407894736842105,1.3076923076923077,0.7352941176470589,0.7352941176470589,-0.6470588235294118,-0.911764705882353,3.971428571428571,9.075,4,14.753846153846155
LV,2016,00-0030513,Latavius Murray,14,2,1.0,00-0033025,00-0032940,0,Jalen Richard,DeAndre Washington,13.928571428571429,0.06666666666666668,0.33333333333333337,0.49743589743589745,-0.43589743589743574,3.0714285714285716,0.9534883720930232,0.7674418604651162,0.6744186046511628,0.627906976744186,,,,,,6.9,9.45,2,14.871428571428572
LV,2019,00-0035700,Josh Jacobs,13,3,0.6666666666666666,00-0032940,00-0032940,1,DeAndre Washington,DeAndre Washington,18.615384615384617,0.743801652892562,0.743801652892562,0.17355371900826444,-0.08264462809917364,2.076923076923077,2.2345679012345676,2.2345679012345676,0.18518518518518515,1.4197530864197523,1.6153846153846154,0.6825396825396824,0.6825396825396824,0.0,-0.31746031746031755,4.653846153846153,20.46666666666667,3,14.73846153846154
LV,2021,00-0035700,Josh Jacobs,15,2,1.0,00-0033118,00-0032741,0,Kenyan Drake,Peyton Barber,14.466666666666667,0.30184331797235026,1.1658986175115207,1.119815668202765,0.4216589861751153,4.266666666666667,0.9687499999999999,0.4765625,0.2578125,0.22656250000000003,1.4,0.30952380952380953,1.023809523809524,0.9761904761904763,0.2857142857142858,9.233333333333334,9.6,2,15.066666666666668
